burg_candidate_rank,cell_id,x,y,lat,lon,settlement_desirability,population_estimate,local_population_radius_sum,connectivity_score,strategic_score,burg_candidate_score,coastal_flag,water_flag
24,4103,122.4,2593.06,-16.365843,46.772086,0.89789,335.94,8748.85,0.9569,82.9014,83.5733,True,True
25,620,2096.81,345.0,19.223197,78.028887,0.89813,368.89,5495.28,0.9598,82.5878,83.3255,True,True
26,3688,378.31,2417.95,-13.593645,50.823305,0.8963,324.93,7773.13,0.9552,82.6411,83.291,True,False
27,4363,53.0,2696.0,-17.99543,45.673339,0.89873,371.17,3870.72,0.9603,82.4494,83.1917,True,True
28,3324,849.52,2224.06,-10.524201,58.283026,0.89832,325.99,4321.67,0.9563,82.4014,83.0534,True,False
29,3327,937.87,2221.19,-10.478716,59.68174,0.89796,313.8,5761.05,0.9478,82.3907,83.0183,True,False
30,3078,1020.42,2086.22,-8.342059,60.988495,0.89525,328.93,5900.16,0.9549,82.34,82.9979,True,True
31,2360,1345.51,1594.88,-0.563591,66.135057,0.89783,305.16,6494.47,0.9412,82.3493,82.9596,True,False
32,1782,2249.34,931.58,9.937083,80.443548,0.89353,315.58,7161.95,0.9503,82.2821,82.9133,True,False
33,2165,1470.52,1366.83,3.046685,68.11411,0.89265,312.46,7980.14,0.9482,82.2761,82.901,True,False
34,2023,1395.9,1155.76,6.388142,66.932734,0.89404,302.04,5899.38,0.9398,81.9815,82.5856,True,False
35,3266,996.62,2194.24,-10.052134,60.611792,0.88929,330.71,6340.23,0.9518,81.908,82.5694,True,True
36,3328,990.5,2216.62,-10.406299,60.514854,0.88873,335.89,6206.92,0.952,81.854,82.5257,True,True
37,2244,1395.03,1449.46,1.738482,66.91893,0.89045,316.7,5572.81,0.9513,81.8921,82.5255,True,False
38,4449,2820.02,2685.54,-17.829813,89.477895,0.88961,361.82,3437.97,0.9546,81.6383,82.3619,True,True
39,2116,1464.67,1290.57,4.253894,68.021518,0.88272,348.44,6796.23,0.9497,81.4504,82.1473,True,True
40,3009,1022.38,2056.58,-7.872768,61.019492,0.88712,305.47,5466.2,0.9443,81.5123,82.1233,True,False
41,2391,1343.43,1618.25,-0.933577,66.102039,0.88824,292.17,6414.97,0.9337,81.5143,82.0986,True,False
42,2192,1461.65,1397.1,2.56746,67.973627,0.88245,325.39,6774.52,0.9476,81.3908,82.0416,True,True
43,2117,1480.34,1284.84,4.344637,68.269477,0.8806,332.43,7735.08,0.9473,81.3638,82.0286,True,True
44,2094,1456.17,1262.6,4.696678,67.886904,0.88439,298.65,6722.72,0.9397,81.3816,81.9789,True,False
45,2893,1027.01,2002.5,-7.016616,61.092836,0.88447,302.04,5468.4,0.9423,81.2866,81.8907,True,False
46,2650,1081.98,1850.94,-4.61728,61.96313,0.88556,300.21,4797.61,0.9406,81.2552,81.8556,True,False
47,2423,1300.25,1658.25,-1.566853,65.418582,0.88188,301.09,6522.45,0.9422,81.2235,81.8256,True,False
48,1825,2181.77,979.76,9.174361,79.373864,0.87561,292.88,9253.01,0.9375,81.0076,81.5934,True,False
49,2142,1490.27,1331.9,3.599627,68.426802,0.87412,298.51,8232.16,0.9409,80.8407,81.4377,True,False
50,619,2012.95,345.62,19.213454,76.701241,0.87611,355.05,4865.15,0.9468,80.6946,81.4047,True,True
51,4271,52.83,2684.83,-17.81865,45.6707,0.8759,361.75,4103.71,0.9472,80.5972,81.3207,True,True
52,2605,1107.51,1826.57,-4.231532,62.367221,0.87466,296.77,4963.14,0.9408,80.4938,81.0874,True,False
53,1799,1369.21,993.3,8.959996,66.510287,0.87363,299.43,5444.14,0.9407,80.4753,81.0742,True,False
54,1640,2279.96,847.1,11.274476,80.928237,0.87043,287.58,6657.03,0.9347,80.2785,80.8536,True,False
55,1365,2292.53,675.35,13.993454,81.127244,0.87051,283.6,6738.71,0.9316,80.2373,80.8045,True,False
56,2088,1951.05,1236.15,5.115414,75.72134,0.87051,306.62,4790.04,0.9396,80.1536,80.7669,True,False
57,2272,1378.07,1494.82,1.020482,66.650533,0.86864,299.81,5848.42,0.938,80.1144,80.714,True,False
58,3751,305.43,2456.5,-14.203849,49.669612,0.86652,303.95,7143.06,0.9373,80.1007,80.7086,True,False
59,2745,1054.22,1910.7,-5.563299,61.523638,0.87095,280.88,5868.97,0.9293,80.1263,80.6881,True,False
60,2110,1947.02,1271.46,4.556377,75.65758,0.86844,318.39,4674.78,0.9395,79.9882,80.625,True,False
61,3550,38.45,2355.85,-12.610523,45.442998,0.8684,358.2,2367.11,0.9428,79.7733,80.4897,True,True
62,4025,123.44,2579.75,-16.155047,46.788457,0.85853,333.88,9323.62,0.9354,79.7484,80.4161,True,True
63,2422,1275.95,1669.06,-1.73794,65.033783,0.86571,278.69,6398.4,0.9289,79.804,80.3614,True,False
64,3753,368.16,2442.7,-13.985376,50.662614,0.86119,292.08,7508.56,0.9333,79.6882,80.2724,True,False
65,2330,1370.85,1553.42,0.092753,66.536147,0.86604,272.34,6298.12,0.9238,79.724,80.2687,True,False
66,2012,1984.0,1120.34,6.948829,76.242997,0.86424,278.28,6197.84,0.9289,79.6755,80.2321,True,False
67,2111,1990.38,1284.73,4.346304,76.344004,0.86472,293.09,4579.22,0.9353,79.6347,80.2209,True,False
68,1800,1392.61,980.64,9.160471,66.880724,0.86485,278.92,5394.39,0.9293,79.6312,80.1891,True,False
69,1535,2285.24,778.56,12.359542,81.011868,0.8652,275.93,5452.95,0.9268,79.6189,80.1708,True,False
70,4357,2827.08,2672.54,-17.624027,89.589718,0.85904,340.04,3255.6,0.9362,79.0855,79.7656,True,True
71,1689,2274.9,876.25,10.813007,80.848179,0.85615,276.99,6829.99,0.9292,79.1725,79.7264,True,False
72,2024,1420.52,1169.22,6.174998,67.322459,0.85654,264.66,6433.82,0.9201,78.9884,79.5177,True,False
73,1866,2198.92,1022.42,8.49893,79.64529,0.8512,309.02,7065.44,0.9293,78.8444,79.4625,True,False
74,3147,1016.16,2129.8,-9.031885,60.921068,0.8523,269.83,5971.91,0.9253,78.7224,79.2621,True,False
75,1865,2155.23,1005.12,8.772891,78.953711,0.84695,258.24,8866.01,0.9173,78.5342,79.0507,True,False
76,2606,1135.29,1811.15,-3.987435,62.806996,0.84896,269.14,5316.82,0.9246,78.3936,78.9319,True,False
77,1074,1112.08,554.55,15.90576,62.439613,0.84747,296.09,4891.92,0.9261,78.2635,78.8557,True,False
78,1305,2283.66,656.42,14.293169,80.986893,0.84712,262.81,6090.25,0.9209,78.2855,78.8111,True,False
79,1737,2266.05,900.87,10.423216,80.708115,0.84512,261.32,7107.25,0.9202,78.2486,78.7712,True,False
80,1240,2266.07,641.65,14.526967,80.708337,0.84358,275.69,6974.09,0.9222,78.1583,78.7097,True,False
81,3689,399.48,2416.79,-13.575306,51.158411,0.8433,252.32,8325.87,0.9134,78.1374,78.642,True,False
82,3622,408.7,2384.86,-13.069773,51.304449,0.83419,304.31,9726.53,0.9196,77.7593,78.3679,True,False
83,2794,1046.96,1934.73,-5.943824,61.40873,0.84362,255.13,5279.68,0.9156,77.8418,78.352,True,False
84,2216,1395.43,1429.53,2.054066,66.925388,0.84121,284.75,5082.47,0.9217,77.7561,78.3256,True,False
85,1174,2245.84,596.04,15.249005,80.388095,0.83986,242.15,7314.36,0.9059,77.6363,78.1206,False,False
86,3323,820.24,2234.62,-10.691359,57.819547,0.83841,267.82,4755.94,0.9187,77.4615,77.9971,True,False
87,3881,129.0,2513.5,-15.106276,46.876493,0.83034,342.93,7846.18,0.9209,77.2837,77.9695,True,True
88,1993,1397.58,1130.99,6.78027,66.959344,0.8398,242.44,5611.95,0.9061,77.4369,77.9218,False,False
89,1423,2286.11,719.04,13.301794,81.025589,0.8353,253.4,5300.09,0.9157,77.248,77.7548,True,False
90,1840,1359.51,1012.87,8.650239,66.356599,0.83308,279.2,4693.68,0.9168,77.0356,77.594,True,False
91,2948,1026.35,2021.54,-7.318008,61.082376,0.83148,266.82,6048.47,0.9148,77.0439,77.5775,True,False
92,4092,2414.6,2580.24,-16.16278,83.059826,0.83042,284.55,4650.6,0.9158,76.8211,77.3902,True,False
93,3814,124.33,2494.25,-14.80153,46.802615,0.82077,338.61,8214.63,0.9153,76.5365,77.2137,True,True
94,1246,2464.21,621.72,14.842477,83.845134,0.82613,319.77,4901.43,0.9165,76.5555,77.1951,True,True
95,4342,2367.14,2680.28,-17.746616,82.308387,0.82764,275.56,3933.94,0.9135,76.4951,77.0462,True,False
96,1922,1363.95,1060.89,7.889976,66.427009,0.82574,289.58,4711.98,0.9137,76.4537,77.0329,True,False
97,3554,388.15,2341.68,-12.386164,50.979034,0.81594,291.45,9010.47,0.9085,76.1607,76.7436,True,False
98,4102,77.92,2603.09,-16.524541,46.067858,0.81745,297.07,6909.4,0.9097,76.0445,76.6386,True,False
99,688,2067.08,361.1,18.968245,77.558271,0.81588,324.08,6587.61,0.9113,75.922,76.5701,True,True
100,3951,150.59,2547.57,-15.645574,47.21832,0.81366,307.51,7627.2,0.9086,75.836,76.451,True,True
101,1588,2278.29,812.49,11.822389,80.901931,0.81839,233.27,6726.95,0.9036,75.9812,76.4477,False,False
102,3752,337.23,2453.85,-14.161958,50.17292,0.81587,240.6,7671.76,0.9038,75.9133,76.3945,True,False
103,3750,289.8,2464.12,-14.324546,49.422155,0.81358,268.8,7720.07,0.9051,75.778,76.3156,True,False
104,3433,452.92,2293.99,-11.631257,52.00453,0.80344,314.04,10995.39,0.9036,75.4055,76.0336,True,True
105,2098,1584.88,1257.85,4.771874,69.924422,0.81311,225.56,7395.38,0.8956,75.535,75.9861,False,False
106,2456,1265.22,1686.38,-2.012089,64.864003,0.81667,224.77,5791.23,0.8915,75.5274,75.977,False,False
107,1979,1995.6,1097.28,7.31389,76.426526,0.81228,245.12,6066.83,0.9022,75.4383,75.9286,True,False
108,1000,990.12,527.51,16.333815,60.508867,0.80981,306.83,5151.6,0.9064,75.2278,75.8414,True,True
109,2361,1363.66,1585.87,-0.421005,66.42232,0.81591,217.89,6062.69,0.8759,75.2242,75.6599,False,False
110,1736,2253.24,915.53,10.191078,80.505309,0.80963,223.74,6670.46,0.8936,75.1626,75.6101,False,False
111,1238,2228.88,626.94,14.759762,80.119664,0.80932,224.1,6544.53,0.8947,75.1444,75.5926,False,False
112,1945,2092.48,1072.13,7.711986,77.96024,0.8092,220.57,7834.05,0.8864,75.1396,75.5807,False,False
113,1905,2126.72,1030.7,8.367917,78.502299,0.80958,216.22,8210.7,0.8759,75.0218,75.4542,False,False
114,2073,1481.91,1230.95,5.197732,68.294364,0.81068,212.14,7819.9,0.8656,74.8699,75.2942,False,False
115,2095,1485.32,1261.92,4.707395,68.348417,0.80807,216.05,7613.13,0.8765,74.853,75.2851,False,False
116,2273,1390.56,1482.49,1.215694,66.84815,0.80566,220.03,6052.54,0.8874,74.6929,75.1329,False,False
117,1272,1248.37,638.59,14.575332,64.597154,0.80003,288.05,4991.6,0.8995,74.3796,74.9557,True,False
118,2217,1416.89,1428.38,2.0722,67.26511,0.80799,213.57,5761.3,0.8706,74.5245,74.9516,False,False
119,2493,1262.23,1715.41,-2.471719,64.81659,0.80516,216.79,5770.81,0.8801,74.491,74.9246,False,False
120,1075,1130.59,560.13,15.817458,62.732622,0.80015,238.3,5467.35,0.8949,74.3611,74.8377,True,False
121,2099,1613.49,1262.37,4.700291,70.377465,0.80592,212.77,5940.22,0.8701,74.3858,74.8113,False,False
122,3079,1041.34,2090.75,-8.413756,61.319773,0.80139,217.73,5972.5,0.8847,74.3277,74.7631,False,False
123,1691,2367.96,899.75,10.441006,82.321354,0.79886,285.06,4102.53,0.8984,74.1718,74.7419,True,False
124,2696,1077.36,1875.14,-5.00041,61.890034,0.80272,216.87,5373.53,0.8818,74.3006,74.7343,False,False
125,2218,1452.26,1421.33,2.183811,67.824968,0.80016,217.48,6259.35,0.8842,74.2644,74.6993,False,False
126,2842,1047.03,1960.82,-6.356881,61.409783,0.80305,212.92,5603.86,0.8722,74.1783,74.6041,False,False
127,1364,2284.4,693.56,13.705143,80.998519,0.7998,214.97,6358.35,0.8791,74.1584,74.5883,False,False
128,3071,345.9,2113.84,-8.779318,50.310263,0.79627,293.5,4013.83,0.8978,73.9645,74.5515,True,True
129,1071,1012.21,545.49,16.049271,60.858537,0.79551,260.39,4486.66,0.8944,73.9031,74.4239,True,False
130,1781,2227.07,936.42,9.860496,80.091063,0.79696,213.22,7011.41,0.8768,73.9886,74.4151,False,False
131,3375,526.1,2268.34,-11.225157,53.163023,0.78367,310.55,10689.41,0.8923,73.7445,74.3656,True,True
132,2096,1519.46,1255.23,4.813402,68.888893,0.79381,213.25,8476.52,0.8769,73.9361,74.3626,False,False
133,4433,2303.03,2695.32,-17.984721,81.293502,0.79437,295.58,3657.26,0.8969,73.7695,74.3606,True,True
134,1960,1397.57,1097.75,7.30638,66.959267,0.79667,215.26,6005.04,0.8804,73.9135,74.344,False,False
135,3210,1011.94,2160.24,-9.513857,60.854319,0.79699,213.73,5919.61,0.878,73.8838,74.3113,False,False
136,1881,1365.43,1035.99,8.284221,66.45045,0.79699,215.74,4751.27,0.8811,73.8027,74.2341,False,False
137,1801,1414.59,984.67,9.096618,67.228588,0.79286,219.92,6244.87,0.8865,73.778,74.2178,False,False
138,3148,1046.76,2124.13,-8.942126,61.405474,0.79675,209.78,6175.64,0.8687,73.7288,74.1484,False,False
139,639,459.73,353.36,19.090925,52.112329,0.78412,303.34,7654.99,0.8919,73.411,74.0177,True,True
140,3326,917.17,2223.88,-10.521254,59.353973,0.79093,219.01,5333.55,0.8848,73.5012,73.9392,False,False
141,1072,1041.74,543.91,16.074264,61.326115,0.78945,227.9,4660.6,0.8879,73.3716,73.8274,False,False
142,1073,1078.71,547.69,16.014471,61.911398,0.78909,226.76,4659.62,0.8877,73.3404,73.7939,False,False
143,4356,2802.57,2668.32,-17.557182,89.201677,0.78975,246.57,3492.94,0.8898,73.2896,73.7828,True,False
144,618,2008.24,339.11,19.316455,76.62664,0.78354,316.33,4676.78,0.8929,73.0368,73.6695,True,True
145,2134,2028.17,1294.47,4.192157,76.942146,0.78863,217.32,4794.16,0.8819,73.2198,73.6545,False,False
146,2051,1459.85,1194.98,5.767223,67.945157,0.79477,198.19,7316.8,0.8421,73.2422,73.6386,False,False
147,4267,2824.42,2637.76,-17.073457,89.547661,0.78641,272.63,3255.6,0.8904,73.032,73.5773,True,False
148,1478,2279.32,746.2,12.871773,80.918161,0.79149,206.62,5188.77,0.8644,73.1573,73.5705,False,False
149,3383,792.96,2261.22,-11.112417,57.387623,0.78338,254.07,5340.94,0.887,72.9975,73.5056,True,False
150,2424,1334.18,1647.21,-1.392126,65.955607,0.79181,199.73,6215.44,0.8476,72.9984,73.3979,False,False
151,2120,1581.86,1294.44,4.192604,69.87667,0.78367,209.94,7312.31,0.87,72.9452,73.365,False,False
152,2097,1549.53,1252.95,4.849528,69.364944,0.77642,243.82,9172.06,0.8821,72.8596,73.3472,True,False
153,1943,2036.14,1068.39,7.771153,77.068414,0.78898,202.16,6152.82,0.8552,72.9244,73.3287,False,False
154,4435,2355.86,2692.42,-17.938748,82.129894,0.78426,249.89,3308.98,0.8871,72.8231,73.3229,True,False
155,2118,1518.54,1291.11,4.245291,68.874345,0.77483,264.03,8187.94,0.8831,72.6468,73.1748,True,False
156,1947,2176.06,1056.73,7.955867,79.283454,0.77379,287.87,6707.86,0.8848,72.4289,73.0046,True,True
157,2567,1175.91,1780.24,-3.498131,63.450089,0.77669,229.21,5911.56,0.8808,72.4724,72.9308,True,False
158,3267,1011.81,2197.73,-10.107349,60.8522,0.78282,200.85,6367.99,0.8559,72.5173,72.919,False,False
159,3265,756.74,2204.89,-10.220629,56.814263,0.77412,295.68,4924.94,0.8858,72.2605,72.8518,True,True
160,1140,1165.71,574.19,15.594898,63.288602,0.775,254.3,5263.78,0.8824,72.3024,72.811,True,False
161,1241,2330.85,613.72,14.969071,81.733965,0.76592,268.61,8174.9,0.8786,71.9238,72.461,True,False
162,4266,2798.98,2640.14,-17.111092,89.144857,0.77295,241.77,3492.94,0.8799,71.9017,72.3852,True,False
163,4024,81.23,2581.55,-16.183502,46.120252,0.76341,299.4,7485.64,0.8801,71.689,72.2877,True,True
164,4026,146.63,2575.02,-16.080168,47.155623,0.76397,232.99,8671.54,0.8742,71.761,72.2269,True,False
165,3434,518.76,2297.62,-11.688626,53.046708,0.75634,305.24,10894.42,0.8767,71.5194,72.1299,True,True
166,4104,147.78,2606.44,-16.577614,47.173773,0.76176,252.96,8635.06,0.8749,71.6099,72.1159,True,False
167,2607,1164.93,1809.94,-3.968281,63.276341,0.7757,191.74,6155.86,0.838,71.6578,72.0412,False,False
168,2782,2213.48,1898.06,-5.363218,79.875795,0.76634,271.77,3701.66,0.8791,71.4364,71.9799,True,False
169,1923,1386.48,1068.3,7.772701,66.783561,0.7733,196.86,5306.16,0.8485,71.5747,71.9684,False,False
170,3431,400.7,2285.39,-11.495133,51.177749,0.75981,258.97,8110.68,0.8744,71.3992,71.9171,True,False
171,3389,981.15,2253.07,-10.983398,60.366902,0.77037,199.87,5733.7,0.8524,71.4844,71.8841,False,False
172,2733,2250.37,1856.24,-4.701173,80.459917,0.75925,285.95,5215.22,0.8765,71.0573,71.6292,True,True
173,4170,2416.35,2608.32,-16.607363,83.087505,0.76452,204.57,4650.6,0.8584,71.0444,71.4536,False,False
174,2166,1491.83,1356.8,3.205478,68.45136,0.76904,183.75,7432.91,0.8222,71.0447,71.4122,False,False
175,1207,1237.91,619.02,14.885116,64.431571,0.75775,265.41,4600.81,0.8738,70.8282,71.359,True,False
176,1944,2064.43,1066.9,7.794787,77.516223,0.76808,184.69,7007.32,0.8251,70.978,71.3474,False,False
177,3430,387.54,2295.49,-11.654939,50.969475,0.75264,284.18,7024.16,0.8727,70.7259,71.2943,True,True
178,3435,532.33,2283.26,-11.461358,53.261662,0.74724,266.37,9492.09,0.868,70.5423,71.075,True,False
179,2245,1416.86,1461.38,1.549872,67.264525,0.76736,179.13,6123.49,0.8117,70.581,70.9393,False,False
180,2894,1043.49,1993.35,-6.871801,61.353723,0.76492,182.27,5587.01,0.8209,70.5088,70.8734,False,False
181,2491,1213.54,1729.02,-2.687181,64.045837,0.74965,267.39,5806.78,0.8694,70.3078,70.8426,True,False
182,2121,1612.25,1295.91,4.169417,70.357727,0.76499,180.74,5710.7,0.8171,70.4587,70.8202,False,False
183,3325,885.3,2224.12,-10.525112,58.849386,0.75786,199.65,4372.8,0.8496,70.373,70.7723,False,False
184,826,2229.77,423.49,17.980596,80.133718,0.74928,263.32,5366.55,0.8688,70.2177,70.7444,True,False
185,1738,2361.79,912.15,10.244672,82.223731,0.75066,267.8,3971.83,0.87,70.175,70.7106,True,False
186,4016,2422.42,2563.55,-15.898607,83.183649,0.75056,273.36,3510.45,0.8705,70.1224,70.6691,True,False
187,3623,436.52,2383.74,-13.052032,51.74491,0.74396,202.14,9820.86,0.851,70.0389,70.4432,False,False
188,3949,46.75,2552.0,-15.715769,45.574395,0.74089,305.99,5093.15,0.8683,69.5721,70.1841,True,True
189,4101,58.55,2611.95,-16.664785,45.761205,0.73859,292.52,6499.24,0.8657,69.5252,70.1102,True,True
190,2892,96.22,2015.56,-7.22333,46.357589,0.73959,293.94,4860.06,0.8664,69.4179,70.0058,True,True
191,4443,2598.54,2686.13,-17.839217,85.971708,0.74755,203.2,3316.16,0.8533,69.5736,69.98,False,False
192,1392,1301.63,722.76,13.242936,65.440372,0.74417,208.31,3859.07,0.8607,69.5263,69.9429,False,False
193,3817,275.86,2479.14,-14.56227,49.201376,0.74342,199.27,6622.78,0.8466,69.5435,69.942,False,False
194,4341,2323.29,2686.46,-17.844342,81.614179,0.7411,280.36,3635.84,0.8659,69.3726,69.9333,True,True
195,2746,1075.28,1903.7,-5.452539,61.857001,0.75405,176.0,5589.95,0.8117,69.5591,69.9111,False,False
196,3329,1011.98,2228.0,-10.586566,60.854996,0.75299,176.8,5975.51,0.8133,69.5575,69.9111,False,False
197,1141,1184.98,572.68,15.618848,63.593693,0.73984,237.52,5674.29,0.8611,69.4356,69.9106,True,False
198,2651,1105.53,1848.71,-4.581953,62.33585,0.75576,173.01,5563.74,0.8031,69.5249,69.8709,False,False
199,2187,2140.13,1378.1,2.868209,78.714669,0.741,260.52,3518.25,0.8639,69.3161,69.8371,True,False
200,1001,1005.27,522.64,16.411029,60.748669,0.7457,196.95,4745.46,0.8433,69.4278,69.8217,False,False
201,1780,2196.49,947.54,9.684473,79.606825,0.75009,172.68,8114.43,0.8056,69.4611,69.8064,False,False
202,3816,242.6,2486.23,-14.67457,48.674849,0.7361,211.05,7277.07,0.8564,69.2703,69.6924,False,False
203,3497,593.52,2326.13,-12.140097,54.230251,0.73004,278.84,8590.83,0.8596,69.0455,69.6031,True,True
204,3072,353.54,2113.26,-8.770075,50.431231,0.73641,286.12,3642.8,0.8639,69.0001,69.5724,True,True
205,3950,133.52,2557.83,-15.808134,46.947994,0.72878,287.94,7438.57,0.8597,68.8217,69.3976,True,True
206,3555,398.96,2356.27,-12.617211,51.150262,0.72984,203.74,9298.13,0.8514,68.9673,69.3748,False,False
207,3264,731.92,2210.02,-10.301872,56.421385,0.73095,275.13,5904.24,0.8597,68.7982,69.3485,True,True
208,3376,561.73,2268.86,-11.233319,53.727044,0.72361,257.52,10703.13,0.8538,68.7276,69.2427,True,False
209,3494,507.26,2324.31,-12.11129,52.864706,0.72016,286.9,11771.88,0.8548,68.6227,69.1965,True,True
210,2025,1450.47,1160.97,6.305633,67.796681,0.74913,162.92,7108.44,0.7812,68.8361,69.1619,False,False
211,3560,557.54,2357.0,-12.628704,53.660753,0.72525,243.64,8821.73,0.8534,68.6166,69.1039,True,False
212,1843,1454.59,1001.21,8.834732,67.861956,0.74378,171.15,6499.16,0.8023,68.7587,69.101,False,False
213,1447,1307.69,747.89,12.844981,65.536287,0.73241,240.64,3830.62,0.8573,68.616,69.0973,True,False
214,4365,107.71,2694.9,-17.977948,46.539391,0.73691,192.99,5129.43,0.8358,68.7045,69.0905,False,False
215,2530,1230.04,1742.22,-2.896143,64.307068,0.7414,177.28,5751.89,0.8114,68.6624,69.017,False,False
216,3820,369.39,2472.21,-14.452553,50.682175,0.74379,163.98,7451.76,0.7869,68.5949,68.9229,False,False
217,1271,859.51,639.96,14.553714,58.441153,0.72915,253.95,3818.36,0.8566,68.3679,68.8758,True,False
218,1332,1275.22,680.78,13.907478,65.022282,0.72913,242.02,4041.14,0.8555,68.372,68.856,True,False
219,2241,2174.46,1426.27,2.10562,79.258164,0.72879,276.34,2998.31,0.8586,68.2812,68.8339,True,True
220,3313,395.65,2222.56,-10.500374,51.097814,0.72092,274.1,8342.01,0.854,68.2587,68.8069,True,True
221,2119,1546.7,1296.43,4.161204,69.319997,0.73153,176.63,9174.42,0.8084,68.301,68.6542,False,False
222,3624,466.68,2381.86,-13.022251,52.222258,0.71921,200.54,10395.19,0.8446,68.2084,68.6095,False,False
223,504,136.77,292.67,20.051557,46.999517,0.7196,277.96,7159.09,0.8537,68.0192,68.5751,True,True
224,3815,214.05,2487.9,-14.700959,48.222912,0.71979,244.75,8059.08,0.8505,68.0822,68.5717,True,False
225,1824,2162.04,966.67,9.381565,79.061527,0.73633,162.39,8892.95,0.7867,68.2229,68.5477,False,False
226,2302,1396.82,1516.2,0.681935,66.947271,0.73698,165.86,6776.99,0.7923,68.1222,68.4539,False,False
227,2193,1489.95,1389.84,2.682433,68.421707,0.73874,159.81,7517.32,0.7791,68.0967,68.4164,False,False
228,1904,2099.55,1042.43,8.182181,78.07218,0.73768,157.84,8641.12,0.7745,68.0711,68.3868,False,False
229,3557,456.86,2360.61,-12.685916,52.066887,0.71123,249.89,11430.64,0.8461,67.7829,68.2827,True,False
230,1660,1362.96,875.88,10.818798,66.411239,0.72221,224.42,4563.87,0.8498,67.8322,68.281,True,False
231,3388,945.41,2250.2,-10.938054,59.80101,0.73339,172.37,5423.69,0.8019,67.8759,68.2206,False,False
232,3010,1038.05,2066.66,-8.0323,61.267597,0.73247,168.51,5435.21,0.7955,67.6966,68.0336,False,False
233,3438,612.82,2296.3,-11.667752,54.535906,0.70563,283.43,9958.95,0.8463,67.2106,67.7775,True,True
234,2949,1040.78,2034.82,-7.528246,61.310816,0.72961,165.21,5485.57,0.7896,67.3903,67.7207,False,False
235,3492,444.84,2337.79,-12.324591,51.876494,0.70235,281.65,11506.23,0.8443,67.1197,67.6831,True,True
236,3432,433.06,2291.36,-11.589636,51.690041,0.705,275.87,9736.78,0.8452,67.1194,67.6712,True,True
237,4098,2596.8,2590.75,-16.329259,85.944215,0.71528,224.31,3816.22,0.8458,67.1739,67.6225,True,False
238,1306,2389.75,644.27,14.485403,82.666335,0.71118,234.55,5830.52,0.8445,67.0918,67.5609,True,False
239,3952,180.29,2548.58,-15.661664,47.688408,0.72135,169.24,7637.21,0.7945,67.1363,67.4748,False,False
