cell_id,seed_x,seed_y,centroid_x,centroid_y,centroid_lat,centroid_lon,area_px,mean_elevation_m,min_elevation_m,max_elevation_m,mean_slope_deg,ruggedness_m,coast_distance_px,coast_distance_km,traversal_score,traversal_profile
52,1947,167,1946.07,167.56,73.244444,14.607407,54,158.71,-72.28,595.73,79.07,749.0,3.17,35.25,41.59,severe
53,1955,167,1955.6,167.75,73.224615,15.56,65,404.79,-44.69,834.28,83.84,936.63,3.83,42.56,35.47,severe
54,1965,164,1964.79,165.94,73.406383,16.478723,47,315.9,-35.12,1020.97,84.65,1161.25,2.94,32.65,36.03,severe
55,1974,164,1974.46,165.21,73.479167,17.445833,48,292.75,-55.88,1039.12,84.41,1108.8,2.83,31.47,36.16,severe
56,1984,164,1983.87,164.83,73.517308,18.386538,52,178.93,-92.23,684.2,82.99,1365.03,3.18,35.39,36.78,severe
57,1994,164,1994.44,166.04,73.396154,19.44359,78,602.55,-68.98,1617.4,86.25,1714.95,4.07,45.22,34.34,severe
58,2004,164,2003.93,165.88,73.412162,20.393243,74,667.9,-48.08,1617.13,83.59,1529.22,5.58,62.06,33.87,severe
59,2011,162,2012.27,164.63,73.536709,21.226582,79,695.21,-44.64,1988.76,81.1,1653.91,7.08,78.77,33.62,severe
60,2025,164,2024.49,164.65,73.534667,22.449333,75,785.64,5.51,2084.96,85.15,1918.53,7.93,88.2,33.05,severe
61,2034,165,2034.2,165.15,73.484848,23.419697,66,1162.88,67.74,2483.25,86.59,2286.42,8.57,95.29,30.89,severe
62,2044,166,2044.74,166.43,73.356667,24.474444,90,1710.55,93.59,2603.99,86.04,2201.1,9.63,107.14,27.74,severe
63,2056,161,2055.94,163.19,73.680952,25.594048,84,611.44,-75.42,2601.0,80.07,1995.9,6.19,68.84,34.15,severe
64,2065,165,2064.59,165.41,73.459375,26.459375,64,953.7,2.71,2419.77,85.99,2203.46,7.67,85.32,32.12,severe
65,2074,164,2075.11,165.64,73.43587,27.51087,92,663.86,-68.44,2112.04,81.41,1789.19,6.72,74.67,33.82,severe
66,2084,161,2083.61,163.3,73.670149,28.361194,67,79.72,-82.02,1100.41,71.24,1074.95,3.69,40.99,37.31,severe
67,2093,166,2092.83,166.28,73.371951,29.282927,82,405.1,-65.96,1264.05,78.63,1231.08,5.37,59.75,35.36,severe
68,2101,165,2101.8,165.68,73.431579,30.180263,76,172.19,-88.4,996.63,75.32,983.73,3.75,41.69,36.78,severe
69,2114,164,2112.41,166.11,73.388889,31.24127,63,96.88,-85.77,707.04,76.44,909.1,3.39,37.7,37.23,severe
70,2122,168,2122.94,167.8,73.22029,32.294203,69,193.65,-79.32,971.96,79.17,1089.33,2.94,32.64,36.72,severe
71,2134,166,2132.62,167.64,73.235849,33.262264,53,22.33,-78.41,598.5,72.19,741.93,2.78,30.95,42.61,rough
72,2146,169,2146.22,168.57,73.142593,34.622222,54,34.93,-79.26,589.84,75.83,904.71,3.57,39.74,37.57,severe
73,2154,166,2153.53,167.76,73.223529,35.352941,34,-26.5,-85.02,34.49,70.8,631.22,2.76,30.74,46.18,rough
74,2161,168,2162.13,167.59,73.241026,36.212821,39,-20.94,-81.25,15.87,65.34,522.08,2.6,28.88,49.58,rough
75,2173,166,2172.45,166.48,73.351786,37.244643,56,20.84,-131.82,252.34,74.04,911.39,2.72,30.27,37.7,severe
76,2183,167,2183.85,166.96,73.304494,38.385393,89,457.2,-104.79,880.31,82.05,1225.51,4.51,50.2,35.13,severe
77,2195,164,2194.54,165.09,73.491398,39.453763,93,815.21,-187.04,1555.82,85.59,2202.46,4.55,50.59,33.11,severe
78,2204,161,2204.12,163.25,73.675439,40.412281,57,1328.1,-306.48,2426.0,87.36,3605.27,4.32,47.98,30.24,severe
79,2216,164,2215.67,165.01,73.498718,41.566667,78,1634.3,248.37,2177.76,84.21,1892.57,7.01,77.98,28.34,severe
80,2225,167,2225.26,167.62,73.238043,42.526087,92,1659.99,1234.87,1946.45,80.46,1095.14,9.42,104.7,28.03,severe
81,2233,163,2234.65,164.72,73.52766,43.464894,94,1364.03,-280.53,2478.61,86.64,2429.59,5.69,63.24,29.95,severe
82,2246,163,2244.78,164.07,73.593103,44.478161,87,930.47,-281.99,1829.91,86.08,2689.43,4.7,52.31,32.45,severe
83,2252,163,2252.88,164.31,73.568657,45.28806,67,654.78,-413.0,2030.11,87.17,2723.03,5.24,58.32,33.97,severe
84,2261,163,2261.82,164.03,73.597368,46.181579,76,412.52,-446.02,1078.67,86.03,2582.97,3.8,42.21,35.43,severe
85,2274,164,2273.45,165.19,73.481395,47.345349,86,232.43,-193.01,816.0,84.36,1954.73,3.74,41.57,36.44,severe
86,2286,166,2284.4,165.53,73.446774,48.440323,62,177.77,-163.57,690.42,83.59,2206.75,3.8,42.29,36.75,severe
87,2294,166,2293.71,166.85,73.315385,49.371154,52,357.43,-153.92,1290.35,86.45,2550.3,3.19,35.42,35.78,severe
88,2302,168,2302.04,168.28,73.172222,50.203704,54,484.22,-125.49,1440.35,86.89,2514.05,3.3,36.68,35.06,severe
89,2315,169,2314.91,169.57,73.042857,51.491071,56,435.11,-256.14,1608.91,86.47,2304.52,3.82,42.43,35.3,severe
90,2322,169,2322.35,169.41,73.059259,52.235185,54,287.55,-283.12,1522.46,86.23,2812.34,3.48,38.68,36.15,severe
91,2335,169,2336.75,171.07,72.892857,53.675,28,420.58,-341.62,1623.66,88.27,3504.86,2.53,28.17,35.47,severe
92,1696,178,1697.36,179.41,72.059091,-10.263636,22,26.79,-243.59,242.09,83.27,2223.9,1.15,12.76,37.77,severe
93,1704,177,1704.27,179.46,72.053659,-9.573171,41,109.13,-176.73,377.71,77.68,1797.73,2.35,26.15,37.23,severe
94,1711,177,1710.72,180.02,71.997674,-8.927907,43,171.35,-123.68,790.64,83.63,1730.55,2.53,28.14,36.87,severe
95,1727,179,1728.0,180.64,71.935556,-7.2,45,1078.95,3.4,2253.43,87.66,2495.0,3.4,37.86,31.7,severe
96,1735,177,1734.56,178.0,72.2,-6.544444,27,469.41,-56.85,1963.84,87.71,2913.16,2.24,24.94,35.21,severe
97,1741,177,1742.87,176.82,72.318033,-5.713115,61,518.21,-240.4,1640.57,86.32,2286.67,3.46,38.49,34.85,severe
98,1754,174,1755.71,175.02,72.498462,-4.429231,65,251.76,-136.18,1283.57,83.69,1667.45,2.8,31.15,36.4,severe
99,1767,173,1767.21,173.65,72.634848,-3.278788,66,249.17,16.22,973.27,80.44,1282.13,5.09,56.56,36.26,severe
100,1777,173,1776.3,175.17,72.483133,-2.36988,83,284.63,45.95,862.34,79.88,774.4,7.87,87.48,39.78,severe
101,1785,174,1784.81,175.84,72.416176,-1.519118,68,226.7,38.51,567.74,76.2,537.02,8.83,98.24,47.43,rough
102,1792,174,1793.62,174.84,72.516216,-0.637838,74,278.03,-12.58,623.55,82.33,659.15,5.5,61.16,43.56,rough
103,1807,176,1805.03,175.77,72.422826,0.503261,92,112.77,-51.5,414.47,69.7,407.67,4.32,48.08,52.39,rough
104,1814,174,1815.26,175.72,72.428205,1.525641,39,64.13,-12.09,154.75,68.44,250.58,2.72,30.22,57.66,rough
105,1824,174,1824.73,175.46,72.454167,2.472917,48,46.89,-25.25,98.94,62.35,238.37,2.9,32.24,58.13,moderate
106,1834,176,1833.34,176.72,72.328235,3.334118,85,106.36,-68.26,353.35,73.82,411.74,5.29,58.88,52.24,rough
107,1842,176,1842.17,176.02,72.397753,4.216854,89,184.25,-30.34,449.42,80.1,500.72,5.02,55.85,49.05,rough
108,1854,174,1854.26,175.17,72.482796,5.425806,93,65.03,-54.22,199.13,70.92,393.8,4.17,46.39,53.1,rough
109,1867,174,1865.91,175.49,72.451282,6.591026,78,101.09,-54.29,352.24,69.41,495.66,4.49,49.9,49.71,rough
110,1874,174,1874.15,175.54,72.446154,7.415385,65,111.88,-61.44,332.99,76.52,574.8,4.6,51.16,47.18,rough
111,1882,175,1882.64,174.71,72.529167,8.263889,72,28.38,-58.89,169.94,63.73,468.62,3.97,44.15,51.0,rough
112,1893,176,1893.37,175.01,72.498913,9.336957,92,42.38,-54.64,336.92,67.07,515.59,4.38,48.73,49.43,rough
113,1905,176,1903.75,175.69,72.430508,10.374576,59,12.34,-34.15,98.74,59.16,467.59,6.27,69.7,50.97,rough
114,1912,174,1913.55,175.23,72.477419,11.354839,93,161.44,-26.94,824.39,74.29,701.8,6.86,76.32,42.8,rough
115,1926,174,1926.46,175.21,72.478571,12.646429,84,560.64,61.16,1441.49,82.36,1107.55,9.15,101.79,34.24,severe
116,1936,171,1936.86,172.32,72.767925,13.685849,106,318.35,-58.36,1241.63,79.36,914.24,7.43,82.57,35.71,severe
117,1946,174,1944.97,175.08,72.491954,14.496552,87,760.26,394.7,1490.64,80.78,1088.38,10.37,115.28,33.03,severe
118,1954,175,1955.07,175.55,72.444706,15.507059,85,919.34,341.4,1751.28,83.81,1204.45,11.43,127.08,32.07,severe
119,1965,173,1964.91,174.26,72.574138,16.491379,116,916.37,358.24,1523.79,83.69,1032.11,10.67,118.64,32.13,severe
120,1975,171,1975.21,171.74,72.826437,17.52069,87,808.47,410.82,1316.33,79.02,773.24,9.27,103.07,36.78,severe
121,1985,171,1984.78,171.5,72.85,18.477778,72,965.14,570.8,1407.86,82.15,1027.93,9.62,107.03,31.93,severe
122,1991,175,1992.53,174.98,72.502222,19.253333,90,1167.19,537.68,1846.68,86.03,1298.18,12.98,144.31,30.57,severe
123,2003,176,2001.94,175.13,72.487368,20.193684,95,1168.2,652.96,1727.32,85.42,1097.56,13.8,153.48,30.51,severe
124,2011,176,2011.52,175.58,72.441935,21.151613,124,1254.45,292.09,1682.9,83.6,1032.75,17.08,189.88,29.81,severe
125,2024,172,2022.59,172.04,72.79604,22.259406,101,1643.35,1000.44,2130.93,83.29,1289.3,15.11,168.01,27.75,severe
126,2033,172,2032.9,173.56,72.644444,23.29,90,1624.34,281.91,2376.08,83.46,1510.33,16.82,187.03,27.74,severe
127,2042,175,2041.19,174.84,72.51625,24.11875,80,1571.96,206.96,2687.82,86.21,1964.9,18.03,200.48,27.96,severe
128,2051,175,2052.29,173.96,72.604274,25.22906,117,2063.43,434.64,3003.86,86.27,2166.93,16.97,188.76,25.26,extreme
129,2065,172,2063.45,172.79,72.721359,26.34466,103,1469.51,741.78,2522.71,85.55,1566.89,15.06,167.44,28.73,severe
130,2072,176,2073.91,175.27,72.472897,27.390654,107,1216.11,692.01,1937.47,83.9,1183.78,16.34,181.68,30.07,severe
131,2087,173,2085.12,173.43,72.656589,28.511628,129,1174.21,639.02,2164.1,84.24,1321.17,13.28,147.66,30.51,severe
132,2095,177,2095.24,176.86,72.314286,29.52381,84,1210.76,586.67,2132.92,82.42,1344.85,15.6,173.5,30.15,severe
133,2103,174,2104.02,174.0,72.6,30.401905,105,831.32,581.49,1742.99,79.66,1069.19,11.44,127.23,32.56,severe
134,2115,175,2113.65,174.38,72.562195,31.364634,82,825.06,641.22,1001.68,76.54,731.57,11.23,124.87,37.85,severe
135,2121,173,2123.4,174.74,72.526136,32.339773,88,855.55,612.29,1120.01,77.79,832.23,8.73,97.09,34.71,severe
136,2137,172,2135.67,173.89,72.611321,33.566981,106,553.39,-37.21,1068.49,79.39,895.23,8.8,97.84,34.45,severe
137,2144,173,2144.49,175.2,72.480247,34.449383,81,785.03,91.73,1245.52,84.59,1147.79,10.2,113.4,32.9,severe
138,2156,174,2154.51,174.51,72.549275,35.450725,69,608.8,37.12,1054.91,85.38,1058.46,9.51,105.72,33.94,severe
139,2161,171,2162.83,172.56,72.744068,36.283051,59,201.22,25.31,458.13,77.89,621.33,7.57,84.14,45.03,rough
140,2174,172,2173.35,173.09,72.691304,37.334783,92,252.54,46.28,720.73,76.11,521.13,9.16,101.88,47.76,rough
141,2184,175,2184.87,175.39,72.461165,38.487379,103,425.53,76.8,909.73,78.04,749.51,11.95,132.85,39.49,severe
142,2197,174,2196.45,174.36,72.563889,39.64537,108,734.78,125.45,1380.61,84.05,1222.43,12.85,142.91,33.01,severe
143,2205,172,2205.33,171.98,72.802,40.533,100,1392.38,436.09,2089.71,86.17,1529.7,12.54,139.4,29.33,severe
144,2214,174,2213.8,174.36,72.563636,41.379798,99,1510.27,408.93,2543.69,86.26,1724.73,15.13,168.29,28.5,severe
145,2222,176,2222.59,176.2,72.380233,42.259302,86,1805.63,520.92,2445.43,85.74,1735.2,16.71,185.82,26.73,severe
146,2233,177,2232.58,176.01,72.399038,43.257692,104,1828.87,671.45,2471.68,85.02,1349.16,16.4,182.34,26.62,severe
147,2244,174,2243.2,172.97,72.702727,44.32,110,2014.61,1475.4,2381.77,81.49,1119.9,13.31,147.97,25.78,extreme
148,2254,176,2253.78,175.41,72.459341,45.378022,91,2227.71,1535.82,2491.83,79.97,937.31,15.98,177.65,24.4,extreme
149,2261,172,2262.34,172.05,72.79469,46.233628,113,1774.39,522.93,2515.04,84.56,1573.41,11.61,129.06,27.25,severe
150,2276,173,2275.55,174.08,72.592199,47.55461,141,1518.3,513.78,2082.07,83.86,1286.09,12.29,136.71,28.64,severe
151,2287,171,2285.48,172.55,72.745312,48.548438,64,1427.06,567.26,2024.59,84.7,1455.8,10.39,115.53,29.28,severe
152,2291,174,2291.83,175.64,72.436458,49.183333,96,1573.07,1048.72,2052.69,83.61,1088.92,11.85,131.77,28.36,severe
153,2304,173,2303.15,174.21,72.579167,50.315278,72,1318.83,313.62,1925.69,85.47,1302.89,9.21,102.44,29.97,severe
154,2311,173,2310.71,173.11,72.68871,51.070968,62,1091.37,52.61,1649.58,83.74,1342.53,7.76,86.29,31.34,severe
155,2325,175,2324.66,176.4,72.36,52.465556,90,1306.55,653.72,1859.27,85.4,1250.91,9.88,109.83,29.99,severe
156,2332,171,2331.4,172.06,72.79434,53.139623,53,1058.05,-243.6,2082.28,86.74,2711.31,4.3,47.77,31.76,severe
157,2345,172,2344.85,174.18,72.582292,54.485417,96,1017.96,-243.2,2071.2,87.74,2650.47,4.7,52.32,31.96,severe
158,2356,176,2355.9,175.28,72.472152,55.589873,79,927.0,-305.52,1908.25,86.97,2672.21,4.08,45.41,32.51,severe
159,2366,177,2364.98,176.96,72.303509,56.498246,57,950.76,-299.48,1749.64,86.98,2566.98,4.47,49.66,32.35,severe
160,2370,174,2371.12,175.71,72.429167,57.1125,24,178.4,-176.52,762.9,87.6,3301.62,1.8,20.04,36.88,severe
161,2384,178,2382.27,179.9,72.01,58.226667,60,322.88,-263.88,777.79,84.49,2014.0,2.83,31.51,35.99,severe
162,1242,189,1242.7,190.32,70.9675,-55.73,40,9.61,-67.47,114.16,66.77,1290.59,2.29,25.46,37.79,severe
163,1255,186,1256.19,187.87,71.212903,-54.380645,31,-6.72,-157.71,68.82,72.57,1899.38,2.52,28.03,37.83,severe
164,1263,185,1263.89,187.36,71.264444,-53.611111,45,109.86,-418.66,436.67,83.61,2200.8,2.74,30.43,37.2,severe
165,1273,185,1273.36,187.17,71.282979,-52.66383,47,196.41,-287.22,663.27,85.29,2200.51,2.81,31.22,36.71,severe
166,1284,187,1283.62,188.67,71.133333,-51.638095,42,224.73,-138.33,631.91,85.55,1517.59,2.5,27.85,36.57,severe
167,1294,188,1293.62,189.86,71.013514,-50.637838,37,93.21,-56.03,274.2,82.04,922.02,2.36,26.26,37.32,severe
168,1303,189,1304.17,189.83,71.016667,-49.583333,18,-42.41,-60.82,-23.96,62.8,529.08,1.43,15.85,49.44,rough
169,1314,187,1315.65,190.46,70.953846,-48.434615,26,-40.81,-117.19,-5.09,54.84,349.49,1.54,17.08,55.02,rough
170,1325,188,1325.33,189.27,71.072917,-47.466667,48,-24.35,-76.03,11.75,53.85,460.15,2.53,28.1,51.52,rough
171,1335,185,1334.6,186.6,71.339535,-46.539535,43,-6.1,-138.31,91.51,71.42,1388.24,2.78,30.89,37.81,severe
172,1342,187,1343.66,187.43,71.256818,-45.634091,88,51.92,-371.19,239.95,70.32,971.33,4.46,49.57,37.41,severe
173,1358,187,1356.04,187.64,71.236458,-44.395833,96,161.8,-257.68,422.55,80.62,1029.59,4.02,44.66,36.82,severe
174,1364,184,1364.85,186.67,71.333333,-43.515385,39,189.44,-138.86,390.7,80.81,1088.74,3.41,37.93,36.71,severe
175,1371,184,1372.04,186.85,71.315278,-42.795833,72,149.67,-162.93,372.77,77.33,1177.6,4.03,44.83,36.89,severe
176,1384,186,1383.29,187.85,71.215152,-41.671212,66,57.61,-91.06,226.48,74.58,902.74,3.05,33.89,37.47,severe
177,1397,189,1396.12,189.63,71.036735,-40.387755,49,140.25,-37.17,275.64,71.25,622.43,3.14,34.96,45.64,rough
178,1404,188,1404.3,189.91,71.008696,-39.569565,23,76.45,-55.51,218.84,82.0,1041.53,1.94,21.62,37.44,severe
179,1411,189,1411.61,191.12,70.887879,-38.839394,33,18.54,-88.35,196.13,78.82,1169.52,2.19,24.38,37.75,severe
180,1639,189,1639.8,190.1,70.99,-16.02,10,-149.84,-343.3,-60.55,72.01,2300.45,1.14,12.69,37.92,severe
181,1644,188,1645.74,189.87,71.013043,-15.426087,23,-53.17,-358.66,31.49,76.45,1971.1,1.18,13.17,37.92,severe
182,1657,188,1658.15,191.12,70.8875,-14.185,40,-1.08,-263.45,183.4,64.38,651.45,2.82,31.34,45.54,rough
183,1663,186,1663.33,187.21,71.279167,-13.666667,24,-90.92,-225.35,-32.89,68.19,1616.58,1.87,20.82,37.88,severe
184,1677,182,1677.71,185.51,71.448571,-12.228571,35,-108.17,-622.44,154.98,80.29,1390.15,2.19,24.31,37.85,severe
185,1685,183,1684.45,185.06,71.49434,-11.554717,53,92.96,-365.88,579.47,81.64,1790.48,3.41,37.87,37.25,severe
186,1693,183,1692.78,184.63,71.536923,-10.721538,65,576.53,-227.51,1655.35,85.99,2046.18,3.8,42.24,34.5,severe
187,1701,187,1701.63,186.78,71.321505,-9.836559,93,1153.79,148.19,2250.87,87.36,2090.01,5.41,60.2,31.15,severe
188,1716,186,1715.14,185.53,71.447297,-8.486486,74,1026.75,31.44,1950.43,87.5,2185.86,4.86,54.04,31.9,severe
189,1722,183,1721.77,183.05,71.695,-7.823333,60,1195.39,82.78,2258.25,87.67,2239.17,4.03,44.83,31.01,severe
190,1737,181,1736.51,182.27,71.772549,-6.34902,51,1519.02,614.6,2301.92,87.11,2187.65,5.73,63.7,29.07,severe
191,1742,187,1743.04,186.25,71.374648,-5.695775,71,537.64,-173.44,2085.4,87.07,2476.0,3.74,41.6,34.73,severe
192,1751,181,1751.33,182.06,71.793636,-4.867273,110,820.88,-163.72,1705.11,86.07,1780.59,5.66,62.97,33.01,severe
193,1766,181,1765.42,180.82,71.918,-3.458,100,470.62,55.17,1467.64,79.24,1140.82,8.79,97.75,34.77,severe
194,1772,187,1772.74,186.24,71.37625,-2.72625,80,67.4,-188.39,264.03,63.63,640.96,5.7,63.41,45.3,rough
195,1782,186,1782.81,185.54,71.446457,-1.718898,127,117.8,22.31,274.0,66.59,318.61,11.77,130.84,54.64,rough
196,1795,183,1794.93,183.45,71.655072,-0.506522,138,103.21,32.27,296.31,59.13,292.33,12.89,143.29,55.47,rough
197,1807,186,1807.11,186.04,71.39596,0.711111,99,129.63,30.78,268.68,59.56,201.28,13.73,152.64,58.09,moderate
198,1812,181,1813.58,182.33,71.766667,1.358333,72,105.48,30.59,304.43,57.49,217.44,9.34,103.85,58.02,moderate
199,1823,182,1823.19,183.47,71.652713,2.318605,129,182.05,30.52,421.97,65.56,317.9,10.65,118.41,54.38,rough
200,1836,187,1835.63,186.8,71.319835,3.56281,121,324.88,126.49,521.87,72.92,374.32,15.4,171.19,51.5,rough
201,1847,183,1846.34,183.31,71.669318,4.634091,88,352.41,76.42,626.58,76.52,505.02,12.31,136.85,47.49,rough
202,1854,184,1854.61,183.82,71.61791,5.461194,67,563.37,178.16,834.75,81.21,700.47,12.82,142.57,40.18,severe
203,1862,184,1862.7,182.92,71.707595,6.26962,79,628.61,127.35,1061.81,81.31,766.06,11.92,132.6,37.84,severe
204,1871,187,1871.31,186.19,71.381,7.131,100,812.84,436.09,1117.67,81.24,736.15,15.19,168.93,37.51,severe
205,1882,182,1881.15,182.65,71.734831,8.114607,89,602.37,94.33,952.88,80.57,850.24,11.7,130.16,35.38,severe
206,1891,182,1891.98,183.52,71.648148,9.198148,108,704.67,103.03,1164.16,82.99,859.0,12.62,140.36,34.47,severe
207,1905,181,1903.93,182.33,71.767416,10.393258,89,707.18,117.28,1318.61,85.16,1074.78,12.55,139.61,33.19,severe
208,1911,187,1912.23,186.14,71.38617,11.223404,94,1070.22,625.72,1350.64,79.28,752.09,17.18,191.01,35.44,severe
209,1924,183,1923.36,183.51,71.649265,12.336029,136,1032.31,284.39,1593.59,82.9,916.26,15.97,177.6,31.13,severe
