cell_id,x,y,lat,lon,area_px,elevation_m,slope_deg,ruggedness_m,coast_distance_km,traversal_cost,settlement_desirability,population_weight,population_estimate
79,820.52,48.2,23.921847,57.823965,1126,436.45,15.35,32.9,291.36,30.0,0.42348,0.000163,68.52
80,851.85,47.76,23.928793,58.31995,880,421.0,15.83,37.61,315.56,30.86,0.41677,0.000161,67.43
81,883.22,55.77,23.801925,58.816485,788,352.88,23.23,53.8,334.53,43.19,0.33192,0.000128,53.7
82,906.58,50.83,23.880151,59.186346,867,288.61,23.12,57.27,366.53,42.69,0.33589,0.000129,54.35
83,937.08,53.33,23.840603,59.669141,1091,232.17,28.45,80.96,396.73,47.9,0.32373,0.000125,52.38
84,971.1,46.0,23.956718,60.207804,1069,381.42,20.65,62.4,447.17,39.43,0.34894,0.000134,56.46
85,1006.04,53.25,23.841851,60.760927,1091,399.13,34.15,96.84,484.92,49.62,0.3076,0.000118,49.77
86,1042.43,47.07,23.939684,61.336976,1343,274.72,19.23,56.07,542.66,36.12,0.377,0.000145,61.0
87,1073.86,52.92,23.847135,61.834512,906,357.43,46.64,168.19,583.17,51.85,0.29104,0.000112,47.09
88,1102.12,44.76,23.976232,62.281912,1028,425.92,58.64,269.86,633.16,55.92,0.25914,0.0001,41.93
89,1132.26,47.68,23.929991,62.759009,935,422.72,63.89,337.34,671.31,58.29,0.24164,9.3e-05,39.1
90,1172.87,51.55,23.868873,63.401954,1295,728.17,66.36,338.22,701.91,60.43,0.22136,8.5e-05,35.82
91,1205.72,49.71,23.897887,63.92207,1224,1200.69,73.58,575.6,714.63,72.1,0.13449,5.2e-05,21.76
92,1237.34,52.05,23.860902,64.422662,965,1568.78,74.23,586.61,668.68,75.04,0.11097,4.3e-05,17.96
93,1264.99,45.34,23.967103,64.860341,1008,1571.8,76.06,619.82,619.36,76.23,0.10358,4e-05,16.76
94,1296.64,47.26,23.936644,65.361306,1139,1531.29,75.34,613.2,564.68,75.72,0.10725,4.1e-05,17.35
95,1329.25,48.92,23.910511,65.877687,1165,1457.25,72.43,504.1,508.44,71.35,0.13589,5.2e-05,21.99
96,1366.94,50.73,23.881751,66.474292,1066,1145.39,65.38,351.89,443.72,63.8,0.19121,7.4e-05,30.94
97,1392.88,41.97,24.020474,66.884958,1064,1346.64,68.95,384.61,396.64,66.35,0.17069,6.6e-05,27.62
98,1421.91,42.0,24.019983,67.344515,841,1326.92,65.08,338.29,346.31,64.58,0.18316,7.1e-05,29.64
99,1454.26,50.06,23.892401,67.856728,865,1125.7,63.79,349.35,293.64,63.58,0.19307,7.4e-05,31.24
100,1484.33,50.7,23.882322,68.332709,1081,1154.27,72.62,512.85,243.48,69.56,0.1518,5.8e-05,24.56
101,1521.03,50.96,23.878091,68.913727,1322,971.3,70.75,433.25,183.38,65.48,0.18209,7e-05,29.46
102,1556.56,46.6,23.947201,69.476207,780,1143.06,75.52,566.1,124.44,69.89,0.14251,5.5e-05,23.06
103,1581.84,43.96,23.988961,69.876417,841,1174.17,73.9,602.55,86.58,69.72,0.13506,5.2e-05,21.85
104,1607.15,51.25,23.873533,70.277066,901,1227.48,77.37,769.72,74.34,75.45,0.0975,3.8e-05,15.77
105,1642.71,40.35,24.046088,70.840041,1228,956.76,78.26,812.59,38.28,73.49,0.17903,9.9e-05,41.5
106,1674.9,55.64,23.804089,71.349574,866,1353.65,80.79,1114.5,32.48,76.24,0.16955,0.0001,41.88
107,1697.02,51.96,23.862327,71.699819,581,426.74,75.77,947.81,15.35,69.07,0.29398,0.00022,92.21
108,18.69,83.09,23.369475,45.130256,1013,-4.37,27.95,81.23,21.58,40.23,0.48903,0.000321,134.76
109,46.84,72.18,23.542245,45.575865,840,97.52,33.89,90.85,40.58,42.12,0.41595,0.000224,93.91
110,78.72,83.38,23.364974,46.080568,1125,261.56,27.65,71.72,60.16,43.45,0.34741,0.000144,60.62
111,116.15,80.45,23.411336,46.673019,1169,316.39,41.22,132.76,68.88,46.38,0.31132,0.00012,50.37
112,148.7,80.04,23.417806,47.188428,872,350.31,43.77,147.62,107.06,48.83,0.30154,0.000116,48.79
113,174.65,79.08,23.433025,47.599139,823,300.74,41.45,117.57,146.31,49.17,0.30978,0.000119,50.12
114,200.84,80.43,23.411564,48.013868,877,331.92,31.25,86.56,189.89,48.79,0.31514,0.000121,50.99
115,235.05,82.4,23.380487,48.555325,1121,343.99,26.34,62.24,210.19,48.01,0.32102,0.000124,51.94
116,274.01,75.51,23.489515,49.172179,734,244.96,39.54,107.63,206.67,48.93,0.31545,0.000122,51.04
117,298.99,77.16,23.463343,49.567605,824,120.34,34.62,85.81,201.23,47.3,0.3303,0.000127,53.44
118,330.3,84.89,23.341067,50.06327,1403,110.47,15.15,35.38,196.1,27.5,0.45007,0.000173,72.82
119,367.24,80.43,23.411596,50.648067,1195,142.56,10.34,22.77,203.28,19.33,0.51822,0.0002,83.85
120,395.1,81.26,23.398483,51.089186,948,151.16,11.94,28.87,181.82,22.24,0.49326,0.00019,79.81
121,435.29,75.84,23.484208,51.725336,1488,181.93,11.39,24.53,176.03,21.39,0.49988,0.000193,80.88
122,467.9,78.03,23.44957,52.241663,796,183.13,12.13,27.84,175.23,22.74,0.48845,0.000188,79.03
123,493.5,81.81,23.389784,52.646904,1161,193.56,13.46,30.96,180.34,25.13,0.46825,0.00018,75.76
124,524.25,76.22,23.478261,53.13363,1059,233.34,15.15,33.07,198.19,28.26,0.44146,0.00017,71.43
125,556.48,80.36,23.412746,53.643962,1158,258.67,18.84,44.39,155.86,34.88,0.38683,0.000149,62.59
126,587.0,79.03,23.433819,54.127048,987,295.92,21.63,53.08,124.63,38.67,0.34801,0.000134,56.31
127,619.17,78.27,23.445733,54.636438,1030,291.17,49.57,177.06,111.35,49.66,0.29722,0.000114,48.09
128,658.57,86.12,23.321564,55.260078,1126,432.58,36.08,95.97,117.36,48.03,0.30904,0.000119,50.0
129,694.05,79.92,23.41972,55.821795,1048,477.02,28.01,69.37,167.67,49.19,0.30969,0.000119,50.11
130,719.86,76.72,23.470342,56.230351,887,492.48,34.94,89.1,199.16,49.99,0.30321,0.000117,49.06
131,750.31,82.85,23.373229,56.712462,1319,506.62,29.72,75.1,195.48,49.59,0.30606,0.000118,49.52
132,783.57,75.83,23.484493,57.239029,1008,461.47,31.66,77.59,222.51,49.37,0.30853,0.000119,49.92
133,812.01,84.56,23.346242,57.689209,994,426.54,28.93,70.07,227.02,48.86,0.31305,0.000121,50.65
134,847.57,75.63,23.487664,58.252152,955,436.65,15.95,38.78,269.98,31.21,0.41365,0.000159,66.93
135,878.01,82.73,23.375208,58.734108,962,380.84,21.45,47.47,291.85,40.21,0.34288,0.000132,55.48
136,917.26,85.8,23.326548,59.355352,1169,241.56,24.92,61.81,331.6,45.5,0.33198,0.000128,53.71
137,949.29,82.23,23.383147,59.862499,942,237.52,34.65,119.23,376.06,49.29,0.31277,0.00012,50.6
138,980.86,77.3,23.461118,60.362308,967,455.65,48.89,168.22,424.41,52.53,0.28427,0.00011,45.99
139,1012.2,83.79,23.358473,60.858399,999,294.18,37.84,128.47,462.98,50.01,0.30626,0.000118,49.55
140,1041.27,85.61,23.329547,61.318561,1111,214.34,21.73,59.1,505.33,39.94,0.34792,0.000134,56.29
141,1077.63,81.39,23.396351,61.894284,1137,292.65,34.76,111.84,564.58,49.41,0.31094,0.00012,50.31
142,1107.52,83.69,23.35992,62.367483,939,526.44,65.21,361.21,597.24,59.85,0.22863,8.8e-05,36.99
143,1137.78,73.57,23.520147,62.8465,1010,309.96,54.38,223.01,638.93,53.46,0.27951,0.000108,45.22
144,1168.09,84.15,23.352662,63.326256,1034,605.47,61.58,277.6,647.33,57.44,0.24509,9.4e-05,39.65
145,1200.12,85.41,23.332687,63.833369,808,1048.53,73.25,542.72,672.83,69.88,0.15112,5.8e-05,24.45
146,1226.37,84.66,23.344568,64.248969,905,1510.45,74.96,591.36,686.89,74.8,0.11321,4.4e-05,18.32
147,1261.07,80.87,23.404692,64.798277,1316,1634.34,68.24,433.38,635.32,70.07,0.14181,5.5e-05,22.94
148,1297.87,79.12,23.432365,65.380851,956,1386.65,72.79,487.28,571.62,70.26,0.14394,5.5e-05,23.29
149,1326.52,80.13,23.416394,65.834347,732,1296.0,61.55,271.32,523.11,62.0,0.2017,7.8e-05,32.63
150,1356.68,75.24,23.493777,66.311823,883,1128.2,61.0,273.96,469.88,60.93,0.21179,8.2e-05,34.27
151,1390.13,85.64,23.32906,66.841458,1016,991.87,61.2,303.03,418.88,61.01,0.21323,8.2e-05,34.5
152,1420.48,73.63,23.519253,67.321805,1326,1237.3,68.06,398.23,361.95,66.08,0.17412,6.7e-05,28.17
153,1457.08,77.22,23.462376,67.901306,881,1338.9,71.48,476.26,303.87,69.54,0.14935,5.8e-05,24.16
154,1488.26,82.95,23.371766,68.394836,853,1390.43,73.14,515.85,259.28,71.3,0.13711,5.3e-05,22.18
155,1519.23,82.75,23.374945,68.885267,950,1085.18,74.73,539.51,213.85,70.02,0.14968,5.8e-05,24.22
156,1550.16,76.18,23.478947,69.3748,916,1192.8,73.07,513.7,165.25,69.85,0.14931,5.8e-05,24.16
157,1583.03,77.93,23.451113,69.89521,1030,1398.25,73.45,517.1,133.42,70.33,0.13814,5.3e-05,22.35
158,1620.91,75.21,23.494252,70.494806,1158,1284.09,71.66,511.72,103.41,68.01,0.14838,5.7e-05,24.01
159,1653.98,75.96,23.482339,71.018404,1012,1132.24,78.29,789.21,70.21,75.3,0.10191,3.9e-05,16.49
160,1684.89,87.76,23.295522,71.507789,799,590.27,77.13,760.32,38.6,69.12,0.20455,0.000112,47.24
161,1703.56,86.93,23.308742,71.803319,357,5.13,49.35,270.2,9.58,46.45,0.51147,0.000433,181.98
162,13.81,119.64,22.790935,45.05298,719,74.6,53.84,203.9,14.71,44.81,0.48912,0.000371,155.71
163,49.34,107.29,22.986383,45.615363,1039,79.6,40.28,132.6,19.56,42.54,0.47543,0.00032,134.51
164,82.63,113.25,22.89198,46.142382,1127,258.52,34.55,96.11,63.52,44.44,0.33042,0.00013,54.74
165,116.37,115.76,22.852311,46.676525,1069,343.19,32.61,79.53,98.9,46.01,0.32149,0.000124,52.02
166,148.89,109.16,22.956771,47.191411,1061,418.67,27.52,65.17,133.68,47.57,0.31706,0.000122,51.3
167,181.41,119.11,22.79925,47.70625,1214,355.43,32.89,88.37,161.5,49.02,0.31299,0.000121,50.64
168,210.42,111.42,22.921033,48.165415,1130,243.98,41.4,116.03,183.79,49.22,0.3132,0.000121,50.67
169,243.44,111.87,22.913861,48.688227,789,278.8,32.85,88.0,158.5,48.47,0.31849,0.000123,51.53
170,266.03,102.49,23.062373,49.045879,817,291.47,29.48,88.82,162.44,48.59,0.31736,0.000122,51.35
171,299.09,111.54,22.919095,49.569192,1259,43.32,22.19,65.82,141.54,39.04,0.35565,0.000137,57.54
172,338.95,115.52,22.856067,50.200206,1120,65.6,14.08,34.94,151.64,25.15,0.46887,0.000181,75.86
173,372.63,115.42,22.857598,50.733448,843,77.41,15.86,37.58,145.57,28.0,0.44335,0.000171,71.73
174,406.87,105.64,23.0125,51.275444,1022,121.99,13.56,32.12,134.76,23.82,0.47423,0.000183,76.73
175,435.18,112.71,22.900589,51.723684,935,115.53,12.37,29.27,111.47,20.68,0.49437,0.00019,79.99
176,461.85,111.92,22.913027,52.14585,940,116.39,15.82,36.63,115.18,26.81,0.44414,0.000171,71.86
177,499.81,117.49,22.824853,52.746704,1156,146.48,12.12,30.5,128.37,21.28,0.49343,0.00019,79.84
178,528.4,109.12,22.95734,53.199321,990,177.04,15.9,37.07,158.14,29.25,0.43433,0.000167,70.27
179,557.49,112.05,22.910988,53.65995,881,220.78,16.64,43.49,120.85,29.39,0.42257,0.000163,68.37
180,590.21,115.38,22.858286,54.177955,1044,204.48,30.96,80.69,71.38,43.87,0.33345,0.000128,53.95
181,621.59,108.04,22.974459,54.674652,1213,160.75,52.58,202.93,60.74,47.42,0.31618,0.00013,54.69
182,658.65,118.08,22.815517,55.261336,869,389.32,42.2,132.01,78.03,47.26,0.30563,0.000118,49.45
183,683.46,104.69,23.027613,55.654079,734,439.69,38.75,112.9,126.11,49.07,0.30313,0.000117,49.05
184,719.2,114.41,22.873672,56.219983,1202,484.38,31.84,82.76,137.09,48.8,0.30731,0.000118,49.72
185,752.59,116.55,22.839756,56.748525,977,494.17,33.13,82.1,138.14,48.89,0.30672,0.000118,49.63
186,782.14,115.36,22.858633,57.21638,1205,438.58,28.5,72.3,157.33,49.02,0.31159,0.00012,50.41
187,819.07,107.63,22.981011,57.801025,957,431.1,29.56,72.6,196.39,48.98,0.31203,0.00012,50.49
188,851.4,107.1,22.989362,58.312818,926,432.98,20.19,48.09,229.66,38.52,0.35524,0.000137,57.48
189,877.81,117.45,22.825477,58.730883,820,341.99,24.27,62.83,244.06,45.16,0.32672,0.000126,52.86
190,904.6,110.86,22.929851,59.154946,1019,249.16,30.24,72.33,284.91,47.71,0.32493,0.000125,52.57
191,942.54,119.01,22.800911,59.755678,1097,232.88,36.73,122.45,327.42,49.37,0.31221,0.00012,50.51
192,971.85,107.0,22.99091,60.219558,1067,205.23,33.29,127.52,381.74,49.36,0.31275,0.00012,50.6
193,1006.76,117.42,22.825934,60.77222,1264,304.42,53.17,267.09,426.17,54.98,0.26809,0.000103,43.38
194,1039.7,115.22,22.860888,61.293789,687,193.2,22.86,87.26,480.0,42.67,0.33514,0.000129,54.22
195,1068.47,111.72,22.916289,61.749179,888,249.71,25.44,77.46,521.07,46.96,0.32533,0.000125,52.64
196,1102.94,115.74,22.852557,62.294977,946,347.41,46.75,171.74,544.61,51.91,0.29076,0.000112,47.04
197,1131.02,107.39,22.984859,62.739463,956,257.56,56.12,262.89,581.63,54.51,0.27239,0.000105,44.07
198,1169.05,109.65,22.948989,63.341432,985,585.46,67.69,363.35,608.89,60.33,0.22423,8.6e-05,36.28
199,1205.68,113.48,22.88844,63.921445,850,1359.55,72.63,541.34,637.03,71.99,0.13307,5.1e-05,21.53
200,1235.58,117.77,22.820476,64.394804,842,1447.64,76.39,597.74,660.9,74.59,0.11533,4.4e-05,18.66
201,1261.76,113.42,22.88939,64.809255,1030,1509.71,72.82,445.89,647.09,69.65,0.14628,5.6e-05,23.67
202,1297.67,111.39,22.921419,65.377712,1256,1472.67,67.35,353.28,586.6,66.12,0.17049,6.6e-05,27.58
203,1333.9,106.84,22.993477,65.951204,1029,1229.25,67.51,337.31,523.86,63.87,0.18952,7.3e-05,30.66
204,1362.88,104.3,23.033705,66.410053,832,1074.86,64.85,341.37,474.56,62.94,0.19828,7.6e-05,32.08
205,1383.79,117.94,22.817803,66.741008,796,1200.24,68.34,444.23,449.86,67.45,0.16531,6.4e-05,26.75
206,1419.64,108.93,22.960362,67.308556,1111,1086.92,67.05,430.11,386.67,66.17,0.17567,6.8e-05,28.42
207,1454.75,106.2,23.003628,67.864479,1148,1451.74,70.97,450.96,330.59,69.43,0.14854,5.7e-05,24.03
208,1490.55,110.33,22.93822,68.431201,997,1033.11,70.48,455.42,282.85,66.69,0.17286,6.7e-05,27.97
209,1526.42,111.54,22.919075,68.998974,992,993.68,68.65,416.74,238.5,65.05,0.18474,7.1e-05,29.89
210,1553.36,108.37,22.969317,69.4255,756,1110.9,72.46,499.2,204.95,68.77,0.15764,6.1e-05,25.51
211,1578.32,107.7,22.979918,69.820693,944,1165.12,72.47,502.07,183.47,69.25,0.15369,5.9e-05,24.87
212,1613.13,111.91,22.913166,70.371723,1429,1129.38,77.05,655.27,150.89,74.13,0.12104,4.7e-05,19.58
213,1650.21,107.15,22.988544,70.958654,1273,1071.66,77.93,778.53,96.16,75.66,0.10403,4e-05,16.83
214,1682.67,116.33,22.843207,71.472548,851,716.17,76.33,726.71,43.83,69.04,0.19052,9.9e-05,41.39
215,1706.17,116.75,22.836657,71.84463,495,21.74,47.77,249.14,11.37,45.9,0.5036,0.000411,172.6
216,4465.22,128.17,22.65585,115.523166,89,-46.24,49.9,689.35,3.57,60.65,0.43214,0.000411,172.73
217,15.8,147.39,22.35151,45.08442,1018,134.39,48.54,169.97,53.53,45.75,0.34943,0.00016,67.04
218,47.88,144.55,22.39655,45.592269,1108,188.05,37.93,117.3,50.05,44.1,0.37141,0.000178,74.64
219,80.33,145.66,22.37898,46.105966,1043,89.07,41.12,137.71,36.75,43.55,0.4152,0.000233,97.91
220,107.88,148.82,22.328897,46.542183,996,278.41,44.4,138.35,48.02,45.38,0.36521,0.000179,75.34
221,138.75,142.31,22.43193,47.030797,984,362.35,32.95,80.61,92.44,45.9,0.3204,0.000123,51.84
222,168.59,148.86,22.328354,47.503288,1108,343.82,39.65,113.37,111.92,47.79,0.31095,0.00012,50.31
223,210.45,148.75,22.330037,48.166003,1053,295.05,35.04,92.92,129.51,47.51,0.31847,0.000123,51.53
224,238.21,139.94,22.469561,48.605389,968,205.47,34.62,92.92,120.3,46.48,0.32561,0.000125,52.68
225,270.65,136.87,22.518173,49.118891,1091,138.24,42.28,114.59,102.37,45.99,0.32593,0.000126,52.73
226,298.94,148.05,22.341127,49.566876,1148,31.08,19.14,53.46,78.45,30.68,0.40422,0.000156,65.4
227,333.42,146.07,22.372397,50.112697,1061,20.55,12.5,28.61,101.78,19.78,0.50109,0.000193,81.07
228,363.63,142.57,22.427791,50.59085,719,31.25,11.8,27.12,119.88,19.45,0.50875,0.000196,82.31
229,394.38,138.13,22.498217,51.077739,1041,47.96,12.91,30.82,92.54,20.31,0.49347,0.00019,79.84
230,430.56,142.74,22.42516,51.650555,1091,37.84,13.12,30.67,61.62,19.22,0.50539,0.000205,86.25
231,468.18,138.46,22.492861,52.245969,1004,52.07,16.47,39.61,72.61,25.65,0.44333,0.000171,71.73
232,494.15,151.88,22.280423,52.65711,925,51.61,16.33,43.58,72.18,25.54,0.44412,0.000171,71.86
233,525.14,146.13,22.371529,53.147707,1091,98.9,18.56,45.69,108.13,31.23,0.40644,0.000157,65.76
234,561.09,137.72,22.504681,53.716937,931,164.0,14.96,39.06,95.89,24.95,0.45339,0.000175,73.36
235,589.97,147.89,22.343566,54.174053,883,164.93,21.1,61.6,43.33,33.58,0.43678,0.000227,95.47
236,621.71,139.74,22.47265,54.676537,845,42.05,45.23,144.39,15.48,42.51,0.50422,0.000375,157.68
237,648.9,145.31,22.384451,55.106954,1067,180.46,49.42,182.33,35.99,45.73,0.39783,0.000225,94.61
238,685.36,136.86,22.518273,55.68422,1113,372.61,35.63,92.73,89.48,46.27,0.31659,0.000122,51.22
239,715.07,148.56,22.33307,56.154628,1031,420.7,30.54,79.97,77.34,45.61,0.31781,0.000122,51.42
