id,name,slug,full_name,state_id,state_name,burg_id,center,pole,color,form_name
52,Iztaco,iztaco-earldom,Iztaco Earldom,23,Xilhuan Altepetl,258,,"1228, 883",#c57cef,Earldom
53,Kutvaladosva,kutvaladosva-governorate,Kutvaladosva Governorate,24,City-state of Saheranahvaria,763,,"870, 733",#4b8def,Governorate
54,Magnarionia,magnarionia-province,Magnarionia Province,24,City-state of Saheranahvaria,23,,"891, 643",#51b5db,Province
55,Caidistlan,caidistlan-county,Caidistlan County,25,Latocail Naharcan,764,,"988, 976",#607ed0,County
56,Leabania,leabania-county,Leabania County,25,Latocail Naharcan,502,,"1119, 884",#9060c5,County
57,Bretarpan,bretarpan-county,Bretarpan County,25,Latocail Naharcan,261,,"1049, 813",#7958d8,County
58,Sarahacan,sarahacan-earldom,Sarahacan Earldom,25,Latocail Naharcan,46,,"866, 882",#5d76db,Earldom
59,Cesontiana,cesontiana-county,Cesontiana County,25,Latocail Naharcan,275,,"772, 996",#8379be,County
60,Breharcan,breharcan-county,Breharcan County,25,Latocail Naharcan,253,,"1085, 1084",#7980c4,County
61,Necarastlan,necarastlan-earldom,Necarastlan Earldom,25,Latocail Naharcan,565,,"1033, 750",#6566e2,Earldom
62,Florum,florum-earldom,Florum Earldom,25,Latocail Naharcan,665,,"748, 935",#6c5ddd,Earldom
63,Rammskord,rammskord-istekoda,Rammskord Istekoda,26,Raamkoda,765,,"931, 153",#a49660,
64,Kalijurik,kalijurik-istekoda,Kalijurik Istekoda,26,Raamkoda,25,,"851, 330",#c7504d,County
65,Colanolonia,colanolonia-earldom,Colanolonia Earldom,27,Marches of Petrello,766,,"1562, 1088",#55f68b,Earldom
66,Sezania,sezania-captaincy,Sezania Captaincy,27,Marches of Petrello,28,,"1392, 1167",#5aeb90,Captaincy
67,Armiabicia,armiabicia-captaincy,Armiabicia Captaincy,27,Marches of Petrello,128,,"1403, 1103",#28ffa8,Captaincy
68,Tonazahualco,tonazahualco-county,Tonazahualco County,27,Marches of Petrello,528,,"1334, 1050",#42ff94,County
69,Fivania,fivania-captaincy,Fivania Captaincy,27,Marches of Petrello,139,,"1516, 1140",#28f9af,Captaincy
70,Spervalom,spervalom-earldom,Spervalom Earldom,27,Marches of Petrello,232,,"1277, 946",#55f78b,Earldom
71,Geria,geria-earldom,Geria Earldom,27,Marches of Petrello,632,,"1627, 1108",#4fdca7,Earldom
72,Spersia,spersia-earldom,Spersia Earldom,27,Marches of Petrello,340,,"1453, 1122",#44dca9,Earldom
73,Chiapan,chiapan-earldom,Chiapan Earldom,27,Marches of Petrello,620,,"1289, 1031",#2eff9d,Earldom
74,Seglia,seglia-county,Seglia County,27,Marches of Petrello,303,,"1348, 960",#32e7b2,County
75,Leadaspanco,leadaspanco-earldom,Leadaspanco Earldom,27,Marches of Petrello,450,,"1303, 989",#2bf3b2,Earldom
76,Vallanolaqui,vallanolaqui-earldom,Vallanolaqui Earldom,27,Marches of Petrello,29,,"1578, 1187",#28ffa5,Earldom
77,Ponteleo,ponteleo-earldom,Ponteleo Earldom,27,Marches of Petrello,116,,"1458, 1191",#51fa8c,Earldom
78,Peaigania,peaigania-earldom,Peaigania Earldom,27,Marches of Petrello,206,,"1273, 996",#5ae09d,Earldom
79,Casadupia,casadupia-earldom,Casadupia Earldom,27,Marches of Petrello,16,,"1422, 1023",#4cff91,Earldom
80,Dodanma,dodanma-county,Dodanma County,28,Emirate of Riagan,767,,"494, 100",#42e3b9,County
81,Sonanmayu,sonanmayu-county,Sonanmayu County,28,Emirate of Riagan,18,,"457, 350",#3ac1d2,County
82,Dorinsia,dorinsia-county,Dorinsia County,28,Emirate of Riagan,238,,"454, 170",#3ee7be,County
83,Bevanconania,bevanconania-county,Bevanconania County,28,Emirate of Riagan,255,,"735, 276",#4fc6c5,County
84,Kievan,kievan-county,Kievan County,28,Emirate of Riagan,297,,"617, 99",#35c1d2,County
85,Melaqta,melaqta-county,Melaqta County,28,Emirate of Riagan,67,,"530, 255",#4fcfba,County
86,Rorinmia,rorinmia-county,Rorinmia County,28,Emirate of Riagan,99,,"629, 11",#42e4b9,County
87,Brenpunia,brenpunia-county,Brenpunia County,28,Emirate of Riagan,332,,"506, 348",#1dddd8,County
88,Orinlaqta,orinlaqta-county,Orinlaqta County,28,Emirate of Riagan,32,,"688, 24",#1ce3d1,County
89,Levelinium,levelinium-county,Levelinium County,28,Emirate of Riagan,419,,"698, 177",#1de4cf,County
90,Nialaqtia,nialaqtia-county,Nialaqtia County,28,Emirate of Riagan,39,,"576, 202",#1edada,County
91,Nialpania,nialpania-county,Nialpania County,28,Emirate of Riagan,224,,"615, 254",#3ec1d2,County
92,Melaqtia,melaqtia-county,Melaqtia County,28,Emirate of Riagan,622,,"761, 197",#1fe7cb,County
93,Florum,florum-county,Florum County,29,Beylik of Lugrancanta,768,,"667, 305",#eeb84c,County
94,Orpanmalan,orpanmalan-county,Orpanmalan County,29,Beylik of Lugrancanta,8,,"578, 316",#ff924e,County
95,Nialmayu,nialmayu-earldom,Nialmayu Earldom,29,Beylik of Lugrancanta,554,,"562, 366",#eab550,Earldom
96,Theixus,theixus-district,Theixus District,30,Herviorum City-state,691,,"656, 1093",#aa6bb2,District
97,Vinium,vinium-district,Vinium District,30,Herviorum City-state,251,,"652, 1035",#a044c7,District
98,Sirnorum,sirnorum-county,Sirnorum County,31,Duchy of Witfordburia,769,,"104, 1152",#b9f655,County
99,Castra,castra-county,Castra County,31,Duchy of Witfordburia,395,,"131, 1185",#c5f84c,County
100,Cuapantema,cuapantema-county,Cuapantema County,31,Duchy of Witfordburia,555,,"14, 1200",#d9cf5f,County
101,Gerara,gerara-county,Gerara County,31,Duchy of Witfordburia,13,,"96, 1208",#b9e369,County
102,Magnakan,magnakan-county,Magnakan County,32,Nekosdamkoda,770,,"1191, 1043",#629ae1,County
103,Alaklalia,alaklalia-county,Alaklalia County,32,Nekosdamkoda,495,,"1145, 968",#5c96e9,County
104,Conflegul,conflegul-landgrave,Conflegul Landgrave,32,Nekosdamkoda,149,,"1268, 1052",#62a1d7,Landgrave
105,Baoirtlan,baoirtlan-county,Baoirtlan County,32,Nekosdamkoda,481,,"1171, 916",#3f98f0,County
106,Orcan,orcan-territory,Orcan Territory,22,Sultanate of Kanchasuyu,534,,"388, 18",#4fa4e7,Territory
107,Fionsuyu,fionsuyu-territory,Fionsuyu Territory,22,Sultanate of Kanchasuyu,527,,"439, 322",#44a4ea,Territory
108,Killatheonku,killatheonku-territory,Killatheonku Territory,22,Sultanate of Kanchasuyu,602,,"4, 549",#47a2ea,Territory
109,Sasumiyuqtia,sasumiyuqtia-tribe,Sasumiyuqtia Tribe,22,Sultanate of Kanchasuyu,179,,"148, 622",#35a9ef,Tribe
110,Tiernanpun,tiernanpun-territory,Tiernanpun Territory,22,Sultanate of Kanchasuyu,,,"16, 199",#5ab2d0,Territory
111,Cannarixus,cannarixus-territory,Cannarixus Territory,23,Xilhuan Altepetl,161,,"1189, 329",#a478ff,Territory
112,Xelaqocaqoria,xelaqocaqoria-territory,Xelaqocaqoria Territory,23,Xilhuan Altepetl,61,,"1243, 356",#c253ff,Territory
113,Brecaoirt,brecaoirt-region,Brecaoirt Region,23,Xilhuan Altepetl,202,,"1743, 714",#ba7dee,Region
114,Velarionia,velarionia-land,Velarionia Land,23,Xilhuan Altepetl,,,"1602, 419",#b25aff,Land
115,Zeltharioria,zeltharioria-islands,Zeltharioria Islands,23,Xilhuan Altepetl,,,"1746, 631",#bb55ff,Islands
116,Makorkosionia,makorkosionia-island,Makorkosionia Island,24,City-state of Saheranahvaria,,,"681, 704",#3c9cfa,Island
117,Balactlania,balactlania-land,Balactlania Land,25,Latocail Naharcan,269,,"1112, 816",#8858d5,Land
118,Vaskmurd,vaskmurd-istekoda,Vaskmurd Istekoda,26,Raamkoda,740,,"1068, 223",#52a98e,Territory
119,Campi,campi-territory,Campi Territory,27,Marches of Petrello,559,,"1334, 923",#32e7b2,Territory
120,Trerolico,trerolico-territory,Trerolico Territory,27,Marches of Petrello,142,,"1460, 1058",#2af5b1,Territory
121,Sarbakorlalia,sarbakorlalia-territory,Sarbakorlalia Territory,27,Marches of Petrello,247,,"1676, 1175",#48dca9,Territory
122,Namäekarisza,nam-ekarisza-dependency,Namäekarisza Dependency,27,Marches of Petrello,,,"1335, 1177",#28faad,Dependency
123,Bren,bren-territory,Bren Territory,28,Emirate of Riagan,702,,"467, 21",#23d1dd,Territory
124,Orin,orin-territory,Orin Territory,28,Emirate of Riagan,684,,"748, 41",#48dbb5,Territory
125,Veliaguria,veliaguria-land,Veliaguria Land,28,Emirate of Riagan,685,,"510, 419",#37eabe,Land
126,Tralinia,tralinia-territory,Tralinia Territory,29,Beylik of Lugrancanta,497,,"878, 546",#e9b355,Territory
127,Salagpan,salagpan-land,Salagpan Land,32,Nekosdamkoda,731,,"1204, 949",#6097e6,Land
128,Ferrvetarjõere,ferrvetarj-ere-region,Ferrvetarjõere Region,32,Nekosdamkoda,30,,"1240, 1017",#3cbedd,Region
129,Mailinsarkia,mailinsarkia-clan,Mailinsarkia Clan,32,Nekosdamkoda,339,,"1257, 1120",#5bb0d1,Clan
130,Mea,mea-area,Mea Area,32,Nekosdamkoda,,,"1153, 893",#31bbe7,Area
131,Kiviraud,kiiraud-istekoda,Kiiraud Istekoda,26,Raamkoda,,,"919, 34",#b05baf,Territory
132,Tammekaar,tammekaar-istekoda,Tammekaar Istekoda,26,Raamkoda,,,"821, 114",#72ad3e,Territory
133,Morromarvi,morromarvi-earldom,Morromarvi Earldom,34,Duchy of Petlancia,754,,,#b753ad,Earldom
134,Caidistlan,caidistlan-area,Caidistlan Area,35,Duchy of Quenolistes,,,,#cc48d9,Area
135,Breharcan,breharcan-province,Breharcan Province,32,Nekosdamkoda,,,,#43beda,Province
136,Breharcan,breharcan-area,Breharcan Area,35,Duchy of Quenolistes,,,,#c94fd5,Area
137,Magnarionia,magnarionia-zone,Magnarionia Zone,29,Beylik of Lugrancanta,,,,#ff9c3f,Zone
138,Victrum,victrum-county,Victrum County,28,Emirate of Riagan,322,,,#45c1d0,County
139,Kiviraud,kiviraud-province,Kiviraud Province,23,Xilhuan Altepetl,,,,#ae60ff,Province
