id,name,slug,state_id,state_name,province_id,province_name,culture_id,feature_id,cell,x,y,capital,port,population,type,group,walls,citadel,temple
13,Gerara,gerara,31,Duchy of Witfordburia,101,Gerara County,21,1,3754,71.5,1190.98,FALSE,FALSE,11.626,Lake,city,TRUE,TRUE,FALSE
14,Matregullum,matregullum,31,Duchy of Witfordburia,0,,19,1,4393,334.07,1313.67,FALSE,FALSE,4.968,River,town,TRUE,TRUE,FALSE
15,Egiorum,egiorum,23,Xilhuan Altepetl,31,Temoac County,0,1,2813,1254.53,817.84,FALSE,FALSE,17.244,River,city,TRUE,TRUE,FALSE
16,Ventechiasec,ventechiasec,27,Marches of Petrello,79,Casadupia Earldom,23,1,3442,1406.23,1066.93,FALSE,FALSE,8.183,River,town,TRUE,TRUE,FALSE
17,Naxaco,naxaco,23,Xilhuan Altepetl,36,Corathionia Earldom,16,1,2136,1352.31,566.53,FALSE,FALSE,2.291,River,town,TRUE,TRUE,FALSE
18,Riagpunpan,riagpunpan,28,Emirate of Riagan,81,Sonanmayu County,20,1,1106,433.7,343.34,FALSE,TRUE,24.928,Naval,city,TRUE,TRUE,FALSE
19,Markapa,markapa,22,Sultanate of Kanchasuyu,2,Laqtia County,19,1,1472,128.09,414.82,FALSE,FALSE,17.648,Lake,city,TRUE,TRUE,FALSE
20,Makumi,makumi,22,Sultanate of Kanchasuyu,3,Maria Barony,19,1,2568,80.81,735.27,FALSE,TRUE,23.557,Naval,city,TRUE,TRUE,FALSE
21,Frascori,frascori,34,Duchy of Petlancia,0,,23,1,4539,1534.07,1346.82,FALSE,TRUE,3.074,Naval,town,TRUE,TRUE,FALSE
22,Ariateranno,ariateranno,23,Xilhuan Altepetl,34,Ariateranno Earldom,0,1,2535,1311.93,707.47,FALSE,FALSE,10.058,River,city,FALSE,FALSE,FALSE
23,Kutqavion,kutqavion,24,City-state of Saheranahvaria,54,Magnarionia Province,18,1,2250,887.29,613.35,FALSE,FALSE,25.012,River,city,TRUE,FALSE,FALSE
24,Antiatua,antiatua,33,Duchy of Temalimco,0,,19,1,4495,582.08,1333.89,FALSE,FALSE,1.854,River,village,FALSE,FALSE,FALSE
25,Skanvese,skanvese,26,Raamkoda,64,Kalijurik Istekoda,17,1,1227,812.83,362,FALSE,FALSE,6.011,Highland,town,FALSE,TRUE,FALSE
26,Bacentiata,bacentiata,23,Xilhuan Altepetl,40,Pullum County,0,1,2676,1363.79,742.92,FALSE,FALSE,3.196,River,town,FALSE,FALSE,FALSE
27,Chaskaku,chaskaku,22,Sultanate of Kanchasuyu,109,Sasumiyuqtia Tribe,19,1,2224,81.66,627.86,FALSE,FALSE,3.156,Highland,town,FALSE,FALSE,FALSE
28,Menzamelo,menzamelo,27,Marches of Petrello,66,Sezania Captaincy,23,1,3645,1433.8,1136.2,FALSE,FALSE,23.197,Lake,city,TRUE,FALSE,FALSE
29,Vallanolaqui,vallanolaqui,27,Marches of Petrello,76,Vallanolaqui Earldom,23,1,3925,1583.25,1197.79,FALSE,FALSE,6.478,Generic,town,FALSE,FALSE,FALSE
30,Ferrvetarjõere,ferrvetarj-ere,32,Nekosdamkoda,128,Ferrvetarjõere Region,17,1,3265,1240.65,1019.53,FALSE,FALSE,7.662,Highland,town,FALSE,FALSE,FALSE
31,Aligoce,aligoce,33,Duchy of Temalimco,0,,0,1,4654,577.51,1374.85,FALSE,FALSE,1.992,River,village,FALSE,TRUE,FALSE
32,Orinlaqta,orinlaqta,28,Emirate of Riagan,88,Orinlaqta County,20,1,82,655.47,40.35,FALSE,FALSE,7.554,Generic,town,FALSE,FALSE,FALSE
33,Magnadarado,magnadarado,23,Xilhuan Altepetl,41,Wesvariontia County,16,1,1915,1372.4,510.34,FALSE,FALSE,7.792,River,town,FALSE,FALSE,FALSE
34,Burnum,burnum,31,Duchy of Witfordburia,0,,19,1,4068,265.1,1249.75,FALSE,FALSE,2.486,River,town,FALSE,FALSE,FALSE
35,Auiatlan,auiatlan,23,Xilhuan Altepetl,42,Auiatlan County,16,1,803,1273.62,254.17,FALSE,FALSE,9.76,River,town,FALSE,FALSE,FALSE
36,Cegovium,cegovium,33,Duchy of Temalimco,0,,26,1,5302,961.63,1533.01,FALSE,FALSE,7.168,Generic,town,FALSE,FALSE,FALSE
37,Marviarora,marviarora,33,Duchy of Temalimco,0,,25,1,5183,551.39,1506.22,FALSE,FALSE,7.544,Generic,town,FALSE,FALSE,FALSE
38,Luriede,luriede,27,Marches of Petrello,68,Tonazahualco County,0,1,3438,1311.81,1076.74,FALSE,FALSE,1.758,Generic,village,FALSE,FALSE,FALSE
39,Tierinlpun,tierinlpun,28,Emirate of Riagan,90,Nialaqtia County,20,1,607,573.29,201.04,FALSE,FALSE,7.216,Highland,town,FALSE,FALSE,FALSE
40,Flonis,flonis,36,Duchy of Eleral,0,,19,1,4200,527.95,1270.02,FALSE,FALSE,6.718,River,town,TRUE,TRUE,FALSE
41,Corirodunum,corirodunum,23,Xilhuan Altepetl,42,Auiatlan County,0,1,800,1200.31,249.86,FALSE,FALSE,3.233,River,town,FALSE,FALSE,FALSE
42,Kievanku,kievanku,28,Emirate of Riagan,84,Kievan County,20,1,262,713.02,88.94,FALSE,FALSE,4.647,River,town,FALSE,FALSE,FALSE
43,Angari,angari,27,Marches of Petrello,66,Sezania Captaincy,23,1,3729,1430.42,1164.8,FALSE,FALSE,3.348,Lake,town,TRUE,TRUE,FALSE
44,Durocorsa,durocorsa,36,Duchy of Eleral,0,,19,1,4403,557.95,1305.94,FALSE,FALSE,29.817,River,city,TRUE,FALSE,TRUE
45,Veruvacum,veruvacum,33,Duchy of Temalimco,0,,25,1,4886,480.37,1438.75,FALSE,FALSE,6.903,Generic,town,FALSE,FALSE,FALSE
46,Sarahacan,sarahacan,25,Latocail Naharcan,58,Sarahacan Earldom,22,1,2892,895.57,851.62,FALSE,FALSE,8.241,River,town,FALSE,FALSE,FALSE
47,Thesarivium,thesarivium,31,Duchy of Witfordburia,0,,19,1,4709,143.64,1405.95,FALSE,FALSE,9.42,River,town,FALSE,FALSE,FALSE
48,Sirgodulum,sirgodulum,22,Sultanate of Kanchasuyu,13,Sirgodulum County,21,1,1389,394.02,404.14,FALSE,FALSE,9.876,Generic,city,FALSE,FALSE,FALSE
49,Covernoco,covernoco,31,Duchy of Witfordburia,0,,0,1,4785,91.48,1430.72,FALSE,FALSE,3.601,Generic,town,FALSE,FALSE,FALSE
50,Brinum,brinum,34,Duchy of Petlancia,0,,26,1,5137,1648.62,1497.04,FALSE,FALSE,1.013,Generic,village,TRUE,FALSE,FALSE
51,Cetoriovi,cetoriovi,36,Duchy of Eleral,0,,26,1,4740,816.69,1394.89,FALSE,FALSE,7.124,Generic,town,FALSE,FALSE,FALSE
52,Riagpansu,riagpansu,22,Sultanate of Kanchasuyu,25,Lorkaia County,20,1,6,150.84,9.25,FALSE,FALSE,6.396,Generic,town,FALSE,FALSE,FALSE
53,Orka,orka,22,Sultanate of Kanchasuyu,12,Beranlaqia County,20,1,1193,401.96,357.6,FALSE,FALSE,6.56,Lake,town,FALSE,FALSE,FALSE
54,Dunagan,dunagan,25,Latocail Naharcan,55,Caidistlan County,22,1,3003,971.42,897.25,FALSE,FALSE,0.931,River,village,FALSE,FALSE,FALSE
55,Hadnicto,hadnicto,33,Duchy of Temalimco,0,,25,1,5074,313.07,1490,FALSE,FALSE,3.205,Generic,town,FALSE,FALSE,FALSE
56,Cantum,cantum,31,Duchy of Witfordburia,0,,19,1,4389,247.43,1311.6,FALSE,FALSE,11.106,Generic,city,FALSE,FALSE,FALSE
57,Lactum,lactum,36,Duchy of Eleral,0,,19,1,4313,610.57,1300.99,FALSE,FALSE,1.259,River,village,FALSE,FALSE,FALSE
58,Vigacendatu,vigacendatu,31,Duchy of Witfordburia,0,,21,1,4057,128.87,1253.52,FALSE,TRUE,8.405,Naval,town,TRUE,FALSE,FALSE
59,Cavarmium,cavarmium,34,Duchy of Petlancia,0,,26,1,5226,1493.68,1511.37,FALSE,FALSE,1.183,River,village,TRUE,FALSE,FALSE
60,Sorbeboli,sorbeboli,0,Neutrals,0,,0,1,4173,83.59,1264.17,FALSE,FALSE,3.318,Generic,town,FALSE,FALSE,FALSE
61,Celqacoco,celqacoco,23,Xilhuan Altepetl,112,Xelaqocaqoria Territory,16,1,1247,1251.54,368.07,FALSE,FALSE,1.034,Highland,village,FALSE,FALSE,FALSE
62,Cailyan,cailyan,25,Latocail Naharcan,117,Balactlania Land,22,1,2807,1121.25,822.41,FALSE,FALSE,3.048,Highland,town,FALSE,FALSE,FALSE
63,Labro,labro,27,Marches of Petrello,65,Colanolonia Earldom,23,1,3450,1564.64,1064.22,FALSE,TRUE,5.712,Naval,town,FALSE,FALSE,FALSE
64,Dususa,dususa,23,Xilhuan Altepetl,43,Preme Earldom,0,1,2609,1275.55,735.94,FALSE,FALSE,6.411,River,town,FALSE,FALSE,FALSE
65,Caidispan,caidispan,32,Nekosdamkoda,105,Baoirtlan County,22,1,3013,1180.79,907.86,FALSE,FALSE,5.438,Highland,town,FALSE,FALSE,FALSE
66,Rierila,rierila,31,Duchy of Witfordburia,0,,19,1,4074,403.36,1241.16,FALSE,TRUE,2.53,Naval,town,FALSE,TRUE,FALSE
67,Doranpunku,doranpunku,28,Emirate of Riagan,85,Melaqta County,20,1,771,565.2,266.1,FALSE,FALSE,7.575,Lake,town,FALSE,FALSE,FALSE
68,Nigrovervia,nigrovervia,33,Duchy of Temalimco,0,,25,1,5075,334.59,1493.34,FALSE,FALSE,11.464,Generic,city,FALSE,FALSE,FALSE
69,Claurinila,claurinila,23,Xilhuan Altepetl,33,Huatlacanco Earldom,0,1,2466,1415.5,689.8,FALSE,FALSE,12.198,River,city,FALSE,FALSE,FALSE
70,Adfluentia,adfluentia,31,Duchy of Witfordburia,0,,19,1,4294,198.01,1295.68,FALSE,TRUE,1.601,Naval,village,FALSE,FALSE,FALSE
71,Povioma,povioma,0,Neutrals,0,,0,1,4466,50.74,1345.86,FALSE,FALSE,6.185,Generic,town,FALSE,FALSE,FALSE
72,Vieliusta,vieliusta,33,Duchy of Temalimco,0,,19,1,4722,420.07,1405.32,FALSE,FALSE,1.05,Generic,village,FALSE,FALSE,FALSE
73,Gorzoricovo,gorzoricovo,27,Marches of Petrello,79,Casadupia Earldom,23,1,3569,1343.44,1118.18,FALSE,FALSE,0.994,Generic,village,FALSE,FALSE,FALSE
74,Ramium,ramium,22,Sultanate of Kanchasuyu,13,Sirgodulum County,21,1,1390,430.29,401.39,FALSE,FALSE,1.004,Generic,village,FALSE,FALSE,FALSE
75,Napanverte,napanverte,23,Xilhuan Altepetl,35,Napanverte County,22,1,2819,1380.11,806.11,FALSE,TRUE,9.269,Naval,town,FALSE,FALSE,FALSE
76,Nigrorum,nigrorum,0,Neutrals,0,,0,1,5063,77.47,1494.55,FALSE,FALSE,0.913,Generic,village,TRUE,FALSE,FALSE
77,Fomaraunium,fomaraunium,23,Xilhuan Altepetl,29,Fomaraunium County,0,1,2541,1422.52,697.24,FALSE,FALSE,16.967,River,city,FALSE,FALSE,FALSE
78,Urka,urka,22,Sultanate of Kanchasuyu,5,Markia Margrave,19,1,1480,287.15,448.41,FALSE,TRUE,4.807,Naval,town,FALSE,FALSE,FALSE
79,Fovirimini,fovirimini,31,Duchy of Witfordburia,0,,19,1,4187,299.61,1268.91,FALSE,FALSE,4.293,Generic,town,FALSE,FALSE,FALSE
80,Tiercankanch,tiercankanch,28,Emirate of Riagan,80,Dodanma County,20,1,316,517.89,117.56,FALSE,FALSE,1.164,Generic,village,FALSE,FALSE,FALSE
81,Nodunium,nodunium,33,Duchy of Temalimco,0,,25,1,5089,638.1,1485.17,FALSE,FALSE,4.685,Generic,town,FALSE,FALSE,FALSE
82,Roranmarma,roranmarma,22,Sultanate of Kanchasuyu,7,Fionlaqtia County,20,1,56,106.18,31.87,FALSE,FALSE,9.764,Generic,city,FALSE,TRUE,FALSE
83,Martis,martis,31,Duchy of Witfordburia,0,,19,1,4298,284.11,1282.67,FALSE,FALSE,4.648,River,town,TRUE,FALSE,FALSE
84,Legioneno,legioneno,27,Marches of Petrello,79,Casadupia Earldom,17,1,3640,1330.51,1136.54,FALSE,FALSE,6.735,Generic,town,FALSE,FALSE,FALSE
85,Raquencum,raquencum,31,Duchy of Witfordburia,0,,25,1,5069,200.69,1490.29,FALSE,FALSE,8.071,Generic,town,TRUE,FALSE,FALSE
86,Baloduvo,baloduvo,31,Duchy of Witfordburia,98,Sirnorum County,21,1,3671,101.86,1170.97,FALSE,FALSE,6.491,Lake,town,FALSE,FALSE,FALSE
87,Capra,capra,34,Duchy of Petlancia,0,,23,1,4355,1523,1290.6,FALSE,FALSE,1.462,Generic,village,FALSE,FALSE,FALSE
88,Legorie,legorie,33,Duchy of Temalimco,0,,19,1,4579,567.73,1366.28,FALSE,FALSE,12.333,River,city,TRUE,FALSE,FALSE
89,Lintium,lintium,33,Duchy of Temalimco,0,,25,1,5277,419.43,1528.39,FALSE,FALSE,1.167,River,village,FALSE,FALSE,FALSE
90,Oveliava,oveliava,23,Xilhuan Altepetl,32,Oveliava Earldom,0,1,2538,1395.05,712.29,FALSE,TRUE,13.122,Naval,city,TRUE,FALSE,FALSE
91,Lugrum,lugrum,31,Duchy of Witfordburia,101,Gerara County,21,1,3947,95.7,1227.42,FALSE,FALSE,4.201,Generic,town,FALSE,FALSE,FALSE
92,Reliaquen,reliaquen,31,Duchy of Witfordburia,0,,25,1,4796,336.95,1429.89,FALSE,FALSE,0.986,Generic,village,FALSE,FALSE,FALSE
93,Sondano,sondano,27,Marches of Petrello,66,Sezania Captaincy,23,1,3817,1399.23,1192.83,FALSE,FALSE,1.176,River,village,FALSE,FALSE,FALSE
94,Labro,labro,27,Marches of Petrello,77,Ponteleo Earldom,23,1,3827,1495.16,1197.21,FALSE,TRUE,4.048,Naval,town,FALSE,FALSE,FALSE
95,Eiran,eiran,22,Sultanate of Kanchasuyu,12,Beranlaqia County,20,1,1194,415.77,361.31,FALSE,TRUE,6.269,Naval,town,FALSE,FALSE,FALSE
96,Clausendie,clausendie,33,Duchy of Temalimco,0,,25,1,5281,509.7,1528.61,FALSE,FALSE,5.401,Generic,town,TRUE,FALSE,FALSE
97,Brenku,brenku,28,Emirate of Riagan,80,Dodanma County,20,1,317,530.29,127.46,FALSE,FALSE,2.351,Generic,town,TRUE,FALSE,FALSE
98,Accuto,accuto,34,Duchy of Petlancia,0,,17,1,4439,1336.25,1311.18,FALSE,FALSE,2.161,Generic,town,FALSE,FALSE,FALSE
99,Lorcanpan,lorcanpan,28,Emirate of Riagan,86,Rorinmia County,20,1,29,633.84,4.27,FALSE,FALSE,7.641,Generic,town,FALSE,FALSE,FALSE
100,Nimarkamar,nimarkamar,22,Sultanate of Kanchasuyu,19,Ausuyumi County,19,1,2487,28.3,704.03,FALSE,FALSE,5.792,Generic,town,FALSE,FALSE,FALSE
101,Mazo,mazo,27,Marches of Petrello,77,Ponteleo Earldom,23,1,4015,1418.97,1219.78,FALSE,FALSE,0.836,Generic,village,FALSE,FALSE,FALSE
102,Aureryaralan,aureryaralan,23,Xilhuan Altepetl,42,Auiatlan County,16,1,1061,1341.63,308.58,FALSE,FALSE,0.541,River,village,FALSE,FALSE,FALSE
103,Reburinera,reburinera,31,Duchy of Witfordburia,0,,19,1,4302,370.79,1295.59,FALSE,FALSE,3.489,Generic,town,FALSE,FALSE,FALSE
104,Killatheon,killatheon,22,Sultanate of Kanchasuyu,14,Sumior Landgrave,19,1,1875,357.28,501.26,FALSE,FALSE,3.045,Generic,town,TRUE,FALSE,FALSE
105,Pampawasina,pampawasina,22,Sultanate of Kanchasuyu,17,Asisumarru County,19,1,2030,232.91,564.99,FALSE,TRUE,1.025,Naval,village,FALSE,FALSE,FALSE
106,Covium,covium,33,Duchy of Temalimco,0,,25,1,4725,498.32,1406.41,FALSE,FALSE,8.288,Generic,town,FALSE,FALSE,FALSE
107,Rovilacum,rovilacum,31,Duchy of Witfordburia,0,,19,1,4564,254.85,1360.48,FALSE,FALSE,0.943,Generic,village,FALSE,FALSE,FALSE
108,Villavarau,villavarau,0,Neutrals,0,,0,1,5160,54.05,1503.19,FALSE,FALSE,4.171,Generic,town,FALSE,FALSE,FALSE
109,Ullebalen,ullebalen,33,Duchy of Temalimco,0,,0,1,4729,569.31,1391.35,FALSE,FALSE,8.123,River,town,FALSE,FALSE,FALSE
110,Lesata,lesata,33,Duchy of Temalimco,0,,25,1,4726,503.67,1401.68,FALSE,FALSE,7.914,Generic,town,TRUE,FALSE,FALSE
111,Tauliobrie,tauliobrie,34,Duchy of Petlancia,0,,26,1,5329,1547.97,1522.32,FALSE,FALSE,9.796,Generic,city,FALSE,FALSE,FALSE
112,Nertis,nertis,31,Duchy of Witfordburia,101,Gerara County,21,1,3758,109.1,1198.8,FALSE,FALSE,2.661,Lake,town,FALSE,FALSE,FALSE
113,Lorkalankuyu,lorkalankuyu,22,Sultanate of Kanchasuyu,8,Tuarkalanco County,20,1,1002,296.7,308.37,FALSE,FALSE,1.331,River,village,FALSE,FALSE,FALSE
114,Burtususto,burtususto,34,Duchy of Petlancia,0,,26,1,5143,1720.35,1497.48,FALSE,FALSE,7.785,Generic,town,FALSE,FALSE,FALSE
115,Kieranma,kieranma,22,Sultanate of Kanchasuyu,8,Tuarkalanco County,20,1,1008,390.5,320.3,FALSE,FALSE,0.807,Lake,village,FALSE,FALSE,FALSE
116,Ponteleo,ponteleo,27,Marches of Petrello,77,Ponteleo Earldom,23,1,3732,1469.57,1164.46,FALSE,FALSE,7.427,Lake,town,FALSE,FALSE,FALSE
117,Victia,victia,31,Duchy of Witfordburia,0,,19,1,4790,213.1,1423.76,FALSE,FALSE,0.877,Generic,village,FALSE,FALSE,FALSE
118,Marnonaco,marnonaco,33,Duchy of Temalimco,0,,19,1,4651,516.94,1382.97,FALSE,FALSE,1.067,Generic,village,FALSE,FALSE,FALSE
119,Victum,victum,31,Duchy of Witfordburia,0,,21,1,4174,102.95,1265.21,FALSE,FALSE,3.543,Generic,town,FALSE,FALSE,FALSE
120,Ariature,ariature,31,Duchy of Witfordburia,0,,19,1,4488,420.54,1331.38,FALSE,FALSE,1.472,Generic,village,FALSE,FALSE,FALSE
121,Preme,preme,23,Xilhuan Altepetl,43,Preme Earldom,0,1,2725,1241.51,765.4,FALSE,FALSE,8.981,River,town,FALSE,FALSE,FALSE
122,Rilacentum,rilacentum,33,Duchy of Temalimco,0,,26,1,5200,926.93,1508.59,FALSE,FALSE,1.022,Generic,village,FALSE,FALSE,FALSE
123,Ariviviverva,ariviviverva,34,Duchy of Petlancia,0,,23,1,4352,1466.21,1295.96,FALSE,FALSE,6.851,Generic,town,FALSE,FALSE,FALSE
124,Dugunum,dugunum,31,Duchy of Witfordburia,0,,19,1,4565,266.65,1359.19,FALSE,FALSE,10.35,Generic,city,TRUE,TRUE,FALSE
125,Bapanvert,bapanvert,27,Marches of Petrello,70,Spervalom Earldom,22,1,3163,1246.63,963.1,FALSE,FALSE,4.91,Generic,town,FALSE,FALSE,FALSE
126,Llaqtasu,llaqtasu,22,Sultanate of Kanchasuyu,21,Marsu County,19,1,1859,158.02,519.45,FALSE,FALSE,1.067,Generic,village,FALSE,FALSE,FALSE
127,Ascridigen,ascridigen,31,Duchy of Witfordburia,0,,19,1,4787,141.56,1420.79,FALSE,FALSE,1.04,Generic,village,FALSE,FALSE,FALSE
128,Antalema,antalema,27,Marches of Petrello,67,Armiabicia Captaincy,23,1,3507,1426.27,1092.84,FALSE,FALSE,12.298,River,city,TRUE,FALSE,FALSE
129,Ausuyumi,ausuyumi,22,Sultanate of Kanchasuyu,19,Ausuyumi County,19,1,2565,38.1,744.8,FALSE,FALSE,7.389,Hunting,town,FALSE,FALSE,FALSE
130,Aoranlaqta,aoranlaqta,22,Sultanate of Kanchasuyu,8,Tuarkalanco County,20,1,1004,332.88,316.01,FALSE,TRUE,4.366,Naval,town,FALSE,FALSE,FALSE
131,Hiemecoqelat,hiemecoqelat,23,Xilhuan Altepetl,42,Auiatlan County,16,1,1149,1250.25,344.75,FALSE,FALSE,2.953,Generic,town,FALSE,TRUE,FALSE
132,Cordugustel,cordugustel,31,Duchy of Witfordburia,0,,19,1,4720,372.71,1399.14,FALSE,FALSE,6.386,Generic,town,FALSE,FALSE,FALSE
133,Dacola,dacola,28,Emirate of Riagan,92,Melaqtia County,20,1,388,725.67,133.99,FALSE,FALSE,1.145,River,village,FALSE,FALSE,FALSE
134,Nigripita,nigripita,34,Duchy of Petlancia,0,,26,1,5241,1792.9,1509.62,FALSE,FALSE,14.179,Generic,city,FALSE,FALSE,FALSE
135,Sedeitorum,sedeitorum,36,Duchy of Eleral,0,,19,1,4311,582.41,1289.91,FALSE,FALSE,3.006,Generic,town,FALSE,FALSE,FALSE
136,Adfluenno,adfluenno,33,Duchy of Temalimco,0,,25,1,4894,653.78,1448.2,FALSE,FALSE,3.177,River,town,FALSE,FALSE,FALSE
137,Conorisio,conorisio,31,Duchy of Witfordburia,101,Gerara County,21,1,3845,101.88,1210.22,FALSE,FALSE,1.292,Generic,village,FALSE,FALSE,FALSE
138,Tuarinku,tuarinku,22,Sultanate of Kanchasuyu,4,Ornanlpansu County,20,1,1190,357.45,358,FALSE,FALSE,0.908,Lake,village,FALSE,FALSE,FALSE
139,Mentalompo,mentalompo,27,Marches of Petrello,69,Fivania Captaincy,23,1,3651,1512.32,1139.22,FALSE,FALSE,9.231,Generic,town,FALSE,FALSE,FALSE
140,Nialkancha,nialkancha,22,Sultanate of Kanchasuyu,8,Tuarkalanco County,20,1,1010,421.34,324.51,FALSE,TRUE,1.03,Naval,village,FALSE,FALSE,FALSE
141,Luliobrila,luliobrila,22,Sultanate of Kanchasuyu,26,Sornumia County,21,1,1294,425.5,389.1,FALSE,FALSE,6.503,Generic,town,FALSE,FALSE,FALSE
142,Trerolico,trerolico,27,Marches of Petrello,120,Trerolico Territory,23,1,3445,1472.49,1067.22,FALSE,FALSE,3.546,Highland,town,FALSE,FALSE,FALSE
143,Fatercurie,fatercurie,33,Duchy of Temalimco,0,,25,1,5177,427.45,1504.61,FALSE,FALSE,4.586,River,town,TRUE,FALSE,FALSE
144,Belle,belle,34,Duchy of Petlancia,0,,23,1,4534,1425.72,1343.76,FALSE,FALSE,8.478,Generic,town,FALSE,FALSE,FALSE
145,Xalcoto,xalcoto,23,Xilhuan Altepetl,27,Archco County,16,1,1825,1320.15,492.14,FALSE,FALSE,3.655,Generic,town,FALSE,FALSE,FALSE
146,Tungrum,tungrum,34,Duchy of Petlancia,0,,26,1,5032,1581.95,1474.89,FALSE,FALSE,3.496,Generic,town,FALSE,FALSE,FALSE
147,Augunum,augunum,34,Duchy of Petlancia,0,,26,1,5134,1610.3,1492.9,FALSE,FALSE,3.681,Generic,town,FALSE,TRUE,FALSE
148,Ferrlinn,ferrlinn,23,Xilhuan Altepetl,113,Brecaoirt Region,17,1,3075,1380.23,932.25,FALSE,FALSE,0.982,Highland,village,TRUE,FALSE,FALSE
149,Conflegul,conflegul,32,Nekosdamkoda,104,Conflegul Landgrave,0,1,3382,1287.06,1062.53,FALSE,FALSE,9.641,Highland,town,FALSE,FALSE,FALSE
150,Ararausus,ararausus,31,Duchy of Witfordburia,0,,19,1,4397,425.97,1321.04,FALSE,FALSE,5.907,Generic,town,FALSE,FALSE,FALSE
151,Vetri,vetri,34,Duchy of Petlancia,0,,23,1,4452,1578.84,1308.37,FALSE,FALSE,12.024,Generic,city,TRUE,FALSE,FALSE
152,Aulanum,aulanum,31,Duchy of Witfordburia,0,,19,1,4396,399.83,1306.13,FALSE,FALSE,6.684,Generic,town,FALSE,FALSE,FALSE
153,Akium,akium,23,Xilhuan Altepetl,51,Aurpan County,16,1,2273,1373.98,620.44,FALSE,FALSE,1.475,River,village,FALSE,FALSE,FALSE
154,Verantium,verantium,31,Duchy of Witfordburia,0,,19,1,4871,171,1445.71,FALSE,FALSE,1.133,River,village,FALSE,TRUE,FALSE
155,Tuarkalanco,tuarkalanco,22,Sultanate of Kanchasuyu,8,Tuarkalanco County,20,1,592,246.84,205.09,FALSE,FALSE,8.78,River,town,FALSE,FALSE,FALSE
156,Aegiolinum,aegiolinum,36,Duchy of Eleral,0,,19,1,4206,619.19,1266.76,FALSE,FALSE,5.006,River,town,FALSE,FALSE,FALSE
157,Nigripoma,nigripoma,31,Duchy of Witfordburia,0,,19,1,3864,305.74,1204.64,FALSE,TRUE,9.062,Naval,town,FALSE,FALSE,FALSE
158,Suroli,suroli,31,Duchy of Witfordburia,0,,19,1,4965,203.16,1460.24,FALSE,FALSE,4.216,Generic,town,FALSE,FALSE,FALSE
159,Andauvanea,andauvanea,33,Duchy of Temalimco,0,,25,1,5288,655.9,1526.32,FALSE,FALSE,13.272,Generic,city,FALSE,FALSE,FALSE
160,Vintiagus,vintiagus,31,Duchy of Witfordburia,0,,25,1,4879,327.7,1437.04,FALSE,FALSE,0.981,Generic,village,FALSE,FALSE,FALSE
161,Cannarixus,cannarixus,23,Xilhuan Altepetl,111,Cannarixus Territory,0,1,1145,1160.85,330.76,FALSE,FALSE,3.66,Generic,town,FALSE,FALSE,FALSE
162,Luliobristu,luliobristu,31,Duchy of Witfordburia,100,Cuapantema County,21,1,3524,7.81,1116.6,FALSE,FALSE,3.633,Generic,town,TRUE,FALSE,FALSE
163,Lugduliobri,lugduliobri,32,Nekosdamkoda,0,,26,1,5101,892.55,1489.55,FALSE,FALSE,2.995,Generic,town,FALSE,FALSE,FALSE
