id,group,feature_id,point_count,points
92,trails,1,2,"1302.23,997.36 | 1311.10,1002.23"
93,trails,1,2,"1308.42,979.16 | 1302.23,997.36"
94,trails,1,3,"1311.93,707.47 | 1291.30,716.77 | 1275.55,735.94"
95,trails,1,3,"1304.53,966.34 | 1308.42,979.16 | 1336.19,985.95"
96,trails,1,2,"980.20,485.02 | 1004.69,466.46"
97,trails,1,8,"1120.54,517.74 | 1138.44,518.10 | 1164.15,508.40 | 1180.78,514.60 | 1209.67,522.61 | 1222.94,541.83 | 1212.94,551.88 | 1203.99,574.46"
98,trails,1,8,"1155.21,584.93 | 1179.13,582.42 | 1203.99,574.46 | 1222.22,582.63 | 1240.61,589.02 | 1268.52,581.90 | 1287.22,574.99 | 1300.14,556.34"
99,trails,1,4,"1240.61,589.02 | 1241.27,613.46 | 1276.54,605.83 | 1268.52,581.90"
100,trails,1,3,"1306.31,1031.73 | 1314.62,1049.85 | 1311.81,1076.74"
101,trails,1,6,"714.87,1337.22 | 687.51,1339.30 | 659.13,1345.57 | 649.61,1334.74 | 646.67,1323.60 | 646.91,1289.70"
102,trails,1,2,"732.93,1340.42 | 714.87,1337.22"
103,trails,1,3,"582.08,1333.89 | 592.25,1315.30 | 610.57,1300.99"
104,trails,1,2,"592.25,1315.30 | 582.41,1289.91"
105,trails,1,8,"838.18,443.69 | 855.01,442.24 | 888.97,438.09 | 909.78,443.19 | 931.69,438.27 | 945.68,438.59 | 975.04,417.22 | 993.75,407.11"
106,trails,1,2,"1241.27,613.46 | 1230.46,629.29"
107,trails,1,4,"1354.96,1039.20 | 1350.98,1050.66 | 1336.77,1054.60 | 1314.62,1049.85"
108,trails,1,4,"719.26,1365.96 | 718.26,1374.46 | 728.95,1384.79 | 754.88,1397.87"
109,trails,1,2,"732.93,1340.42 | 719.26,1365.96"
110,trails,1,4,"582.08,1333.89 | 557.95,1305.94 | 539.20,1311.41 | 537.17,1297.28"
111,trails,1,3,"1311.93,707.47 | 1326.61,694.69 | 1327.98,675.60"
112,trails,1,2,"1327.32,670.06 | 1327.98,675.60"
113,trails,1,3,"650.09,1375.22 | 650.52,1360.59 | 659.13,1345.57"
114,trails,1,3,"1327.32,670.06 | 1323.41,649.10 | 1350.08,650.18"
115,trails,1,3,"1250.15,541.08 | 1258.48,556.34 | 1268.52,581.90"
116,trails,1,18,"819.88,379.37 | 812.83,362.00 | 799.90,354.04 | 799.24,325.63 | 812.34,301.39 | 825.47,305.10 | 840.03,302.31 | 855.26,290.67 | 862.01,280.87 | 873.66,268.50 | 883.50,255.69 | 904.57,245.77 | 917.17,235.75 | 931.15,212.60 | 940.67,208.09 | 951.79,188.03 | 965.81,179.49 | 993.89,175.88"
117,trails,1,2,"806.08,394.60 | 819.88,379.37"
118,trails,1,3,"1336.27,960.56 | 1354.05,954.76 | 1380.23,932.25"
119,trails,1,2,"1343.44,1118.18 | 1318.08,1100.99"
120,trails,1,14,"816.69,1394.89 | 827.96,1407.47 | 836.34,1432.09 | 852.66,1453.25 | 863.33,1461.63 | 870.07,1471.00 | 871.41,1480.57 | 892.55,1489.55 | 911.01,1503.15 | 926.93,1508.59 | 944.65,1514.83 | 961.63,1533.01 | 953.48,1544.53 | 938.74,1552.92"
121,trails,1,2,"1350.98,1050.66 | 1356.56,1067.55"
122,trails,1,2,"1250.15,541.08 | 1222.94,541.83"
123,trails,1,4,"1209.67,522.61 | 1212.19,512.35 | 1220.22,504.82 | 1235.64,497.89"
124,trails,1,2,"1343.44,1118.18 | 1330.51,1136.54"
125,trails,1,4,"1276.54,605.83 | 1280.49,611.51 | 1300.27,640.12 | 1323.41,649.10"
126,trails,1,10,"1380.11,806.11 | 1375.80,821.20 | 1378.94,834.19 | 1378.40,850.00 | 1381.29,862.10 | 1387.70,870.60 | 1397.69,875.40 | 1407.18,883.62 | 1383.95,897.44 | 1380.23,932.25"
127,trails,1,2,"1409.25,889.37 | 1383.95,897.44"
128,trails,1,2,"582.08,1333.89 | 563.41,1342.88"
129,trails,1,3,"475.70,1274.90 | 468.32,1295.62 | 453.47,1288.44"
130,trails,1,3,"661.69,1411.08 | 652.11,1398.30 | 650.09,1375.22"
131,trails,1,4,"1333.46,598.99 | 1317.42,603.45 | 1315.49,621.91 | 1323.41,649.10"
132,trails,1,14,"465.07,1277.63 | 459.04,1267.44 | 457.61,1255.20 | 432.40,1248.00 | 419.03,1247.47 | 403.36,1241.16 | 366.30,1256.88 | 364.82,1225.45 | 349.99,1219.11 | 343.54,1210.17 | 322.02,1221.05 | 305.74,1204.64 | 287.72,1205.07 | 271.93,1198.34"
133,trails,1,3,"743.25,346.38 | 762.42,338.98 | 799.90,354.04"
134,trails,1,3,"1355.03,1159.32 | 1347.15,1146.08 | 1330.51,1136.54"
135,trails,1,5,"1437.09,944.88 | 1421.60,941.40 | 1413.96,930.77 | 1399.08,927.61 | 1380.23,932.25"
136,trails,1,2,"431.31,1272.76 | 432.40,1248.00"
137,trails,1,3,"1376.59,1120.11 | 1364.26,1120.03 | 1343.44,1118.18"
138,trails,1,2,"475.68,1318.55 | 468.32,1295.62"
139,trails,1,5,"454.06,488.33 | 462.60,476.90 | 471.16,465.56 | 474.15,454.91 | 475.52,438.28"
140,trails,1,2,"454.06,488.33 | 442.20,490.70"
141,trails,1,18,"1071.64,372.00 | 1079.17,359.34 | 1099.30,350.16 | 1116.53,354.50 | 1141.27,345.92 | 1160.85,330.76 | 1182.48,352.17 | 1190.91,371.78 | 1190.44,400.13 | 1200.42,410.10 | 1223.97,425.00 | 1237.77,437.82 | 1256.91,443.88 | 1270.76,429.55 | 1288.95,423.35 | 1317.46,414.43 | 1330.08,427.49 | 1341.42,452.70"
142,trails,1,4,"650.52,1360.59 | 617.55,1364.07 | 598.43,1362.79 | 577.51,1374.85"
143,trails,1,2,"1307.76,533.63 | 1300.14,556.34"
144,trails,1,2,"529.16,428.25 | 515.90,421.20"
145,trails,1,2,"523.40,440.80 | 529.16,428.25"
146,trails,1,4,"475.68,1318.55 | 484.70,1327.58 | 492.90,1345.76 | 483.25,1351.16"
147,trails,1,4,"1395.05,712.29 | 1402.81,697.46 | 1415.50,689.80 | 1422.52,697.24"
148,trails,1,2,"1372.76,638.71 | 1350.08,650.18"
149,trails,1,3,"492.38,436.03 | 495.11,431.77 | 515.90,421.20"
150,trails,1,3,"1361.10,591.04 | 1333.46,598.99 | 1364.58,611.75"
151,trails,1,12,"1355.03,1159.32 | 1342.22,1179.13 | 1334.43,1200.49 | 1321.30,1214.22 | 1292.33,1221.32 | 1289.16,1258.38 | 1292.05,1274.32 | 1298.68,1284.95 | 1320.54,1299.86 | 1336.25,1311.18 | 1361.12,1312.25 | 1350.49,1335.20"
152,trails,1,2,"1355.03,1159.32 | 1375.35,1157.31"
153,trails,1,6,"492.38,436.03 | 475.52,438.28 | 460.04,431.81 | 444.03,433.35 | 433.70,428.90 | 423.30,424.40"
154,trails,1,6,"749.13,1474.52 | 731.31,1459.88 | 728.31,1443.35 | 722.92,1424.98 | 732.52,1410.81 | 754.88,1397.87"
155,trails,1,2,"459.04,1267.44 | 431.31,1272.76"
156,trails,1,3,"1256.91,443.88 | 1252.97,466.21 | 1235.64,497.89"
157,trails,1,2,"563.40,1409.56 | 569.31,1391.35"
158,trails,1,5,"563.40,1409.56 | 530.95,1388.06 | 516.94,1382.97 | 494.62,1377.04 | 483.25,1351.16"
159,trails,1,2,"1407.18,883.62 | 1409.25,889.37"
160,trails,1,2,"1352.31,566.53 | 1351.74,554.77"
161,trails,1,3,"1405.42,637.59 | 1392.19,654.17 | 1383.30,669.65"
162,trails,1,3,"436.16,1314.69 | 454.20,1341.46 | 475.68,1318.55"
163,trails,1,6,"519.92,385.76 | 531.08,367.99 | 537.38,376.19 | 548.86,382.06 | 553.60,392.00 | 568.20,381.16"
164,trails,1,2,"1382.02,1147.02 | 1375.35,1157.31"
165,trails,1,5,"1433.80,1136.20 | 1418.57,1127.27 | 1405.01,1122.01 | 1376.59,1120.11 | 1382.02,1147.02"
166,trails,1,2,"1393.68,1165.96 | 1375.35,1157.31"
167,trails,1,12,"726.18,338.03 | 714.22,309.21 | 712.19,299.22 | 710.16,274.94 | 714.91,249.99 | 734.77,250.45 | 752.78,253.27 | 746.87,269.01 | 752.64,284.88 | 764.89,293.57 | 793.53,297.76 | 812.34,301.39"
168,trails,1,16,"661.69,1411.08 | 663.04,1417.08 | 653.78,1448.20 | 632.13,1469.84 | 613.33,1467.22 | 610.09,1483.07 | 606.89,1486.02 | 577.40,1503.41 | 551.39,1506.22 | 545.34,1493.18 | 537.05,1485.71 | 527.05,1472.42 | 525.04,1458.55 | 518.56,1441.38 | 515.82,1425.76 | 492.17,1419.63"
169,trails,1,3,"1344.17,523.99 | 1350.09,535.16 | 1351.74,554.77"
170,trails,1,5,"1350.09,535.16 | 1380.01,534.26 | 1372.40,510.34 | 1367.39,517.81 | 1344.17,523.99"
171,trails,1,3,"1307.76,533.63 | 1330.67,511.83 | 1344.17,523.99"
172,trails,1,3,"1320.15,492.14 | 1323.20,504.40 | 1330.67,511.83"
173,trails,1,2,"446.81,1349.51 | 454.20,1341.46"
174,trails,1,6,"435.78,361.34 | 463.52,366.69 | 476.86,365.40 | 490.30,372.50 | 504.50,380.50 | 519.92,385.76"
175,trails,1,2,"420.54,1331.38 | 425.97,1321.04"
176,trails,1,2,"503.67,1401.68 | 516.94,1382.97"
177,trails,1,6,"1405.42,637.59 | 1408.72,628.81 | 1414.39,623.86 | 1426.57,630.58 | 1448.11,632.91 | 1471.02,634.85"
178,trails,1,2,"1373.98,620.44 | 1405.42,637.59"
179,trails,1,5,"613.33,1467.22 | 602.90,1451.60 | 588.07,1436.53 | 580.87,1413.60 | 563.40,1409.56"
180,trails,1,2,"1393.68,1165.96 | 1380.65,1187.55"
181,trails,1,4,"562.59,339.53 | 563.17,349.64 | 569.60,358.50 | 568.20,381.16"
182,trails,1,4,"749.13,1474.52 | 746.22,1491.00 | 719.46,1485.31 | 702.64,1487.80"
183,trails,1,2,"1399.23,1192.83 | 1380.65,1187.55"
184,trails,1,2,"1242.42,399.76 | 1223.97,425.00"
185,trails,1,5,"1387.53,1209.36 | 1398.01,1204.15 | 1418.97,1219.78 | 1448.98,1216.47 | 1470.43,1224.82"
186,trails,1,2,"1430.42,1164.80 | 1393.68,1165.96"
187,trails,1,3,"361.48,495.84 | 356.70,478.20 | 364.70,462.80"
188,trails,1,6,"388.03,458.87 | 401.20,474.70 | 409.35,486.42 | 419.80,489.70 | 430.31,492.99 | 442.20,490.70"
189,trails,1,8,"420.54,1331.38 | 423.28,1351.21 | 401.22,1364.19 | 387.97,1388.18 | 372.71,1399.14 | 354.71,1401.42 | 334.43,1393.86 | 336.95,1429.89"
190,trails,1,2,"692.92,324.65 | 714.22,309.21"
191,trails,1,2,"353.11,1286.62 | 366.30,1256.88"
192,trails,1,2,"638.10,1485.17 | 632.13,1469.84"
193,trails,1,10,"498.32,1406.41 | 492.17,1419.63 | 471.65,1425.22 | 480.37,1438.75 | 466.34,1458.55 | 450.64,1451.46 | 432.63,1432.44 | 420.07,1405.32 | 396.94,1397.65 | 387.97,1388.18"
194,trails,1,2,"503.67,1401.68 | 498.32,1406.41"
195,trails,1,4,"1320.15,492.14 | 1334.16,480.70 | 1339.61,461.49 | 1341.42,452.70"
